"simulation","depthclass","date","year","month","area_weighted_temp"
"ssp126","Bottom",1996-10-16,1996,10,7.95544601217425
"ssp126","Bottom",1996-11-15,1996,11,7.47615092494195
"ssp126","Bottom",1996-12-16,1996,12,7.05371930736686
"ssp126","Bottom",1997-01-16,1997,1,6.03527579442977
"ssp126","Bottom",1997-02-14,1997,2,5.6727426662638
"ssp126","Bottom",1997-03-16,1997,3,5.54029978512702
"ssp126","Bottom",1997-04-15,1997,4,5.53634698862787
"ssp126","Bottom",1997-05-16,1997,5,5.87389435139656
"ssp126","Bottom",1997-06-15,1997,6,6.22136548208193
"ssp126","Bottom",1997-07-16,1997,7,6.57660684461518
"ssp126","Bottom",1997-08-16,1997,8,6.93856089515355
"ssp126","Bottom",1997-09-15,1997,9,7.82801063470834
"ssp126","Bottom",1997-10-16,1997,10,8.54657474044541
"ssp126","Bottom",1997-11-15,1997,11,9.02730904368167
"ssp126","Bottom",1997-12-16,1997,12,8.78306936449307
"ssp126","Bottom",1998-01-16,1998,1,7.69237233878614
"ssp126","Bottom",1998-02-14,1998,2,7.33103704678833
"ssp126","Bottom",1998-03-16,1998,3,6.98144707219451
"ssp126","Bottom",1998-04-15,1998,4,7.00343280354928
"ssp126","Bottom",1998-05-16,1998,5,7.01403857652107
"ssp126","Bottom",1998-06-15,1998,6,6.76391394096528
"ssp126","Bottom",1998-07-16,1998,7,6.85902089326911
"ssp126","Bottom",1998-08-16,1998,8,7.33080534421923
"ssp126","Bottom",1998-09-15,1998,9,7.93799711918473
"ssp126","Bottom",1998-10-16,1998,10,8.34641995180469
"ssp126","Bottom",1998-11-15,1998,11,8.55533345746097
"ssp126","Bottom",1998-12-16,1998,12,8.15737950768955
"ssp126","Bottom",1999-01-16,1999,1,7.20345290822167
"ssp126","Bottom",1999-02-14,1999,2,6.30162332809716
"ssp126","Bottom",1999-03-16,1999,3,5.93718901355527
"ssp126","Bottom",1999-04-15,1999,4,6.11074590951449
"ssp126","Bottom",1999-05-16,1999,5,6.51419675801623
"ssp126","Bottom",1999-06-15,1999,6,6.78187675284426
"ssp126","Bottom",1999-07-16,1999,7,6.84670860879332
"ssp126","Bottom",1999-08-16,1999,8,6.80057498147293
"ssp126","Bottom",1999-09-15,1999,9,7.65639445225693
"ssp126","Bottom",1999-10-16,1999,10,7.69594006001499
"ssp126","Bottom",1999-11-15,1999,11,7.95259487293457
"ssp126","Bottom",1999-12-16,1999,12,7.31475707831549
"ssp126","Bottom",2000-01-16,2000,1,6.51872223553818
"ssp126","Bottom",2000-02-15,2000,2,6.28037475293723
"ssp126","Bottom",2000-03-16,2000,3,6.10273351738659
"ssp126","Bottom",2000-04-15,2000,4,6.0214177757578
"ssp126","Bottom",2000-05-16,2000,5,6.28062629858501
"ssp126","Bottom",2000-06-15,2000,6,6.35991161663055
"ssp126","Bottom",2000-07-16,2000,7,6.42409739367903
"ssp126","Bottom",2000-08-16,2000,8,6.67475897848412
"ssp126","Bottom",2000-09-15,2000,9,7.05967003360485
"ssp126","Bottom",2000-10-16,2000,10,7.71202250749513
"ssp126","Bottom",2000-11-15,2000,11,7.58778561638837
"ssp126","Bottom",2000-12-16,2000,12,7.30953422835694
"ssp126","Bottom",2001-01-16,2001,1,6.91929566486262
"ssp126","Bottom",2001-02-14,2001,2,6.36853445526229
"ssp126","Bottom",2001-03-16,2001,3,6.02715832753548
"ssp126","Bottom",2001-04-15,2001,4,5.9131557806529
"ssp126","Bottom",2001-05-16,2001,5,6.14156498328409
"ssp126","Bottom",2001-06-15,2001,6,6.30559256336978
"ssp126","Bottom",2001-07-16,2001,7,6.47115809570668
"ssp126","Bottom",2001-08-16,2001,8,6.66361553313299
"ssp126","Bottom",2001-09-15,2001,9,7.69886683802809
"ssp126","Bottom",2001-10-16,2001,10,7.98563342306813
"ssp126","Bottom",2001-11-15,2001,11,7.77955993687123
"ssp126","Bottom",2001-12-16,2001,12,6.86614854516481
"ssp126","Bottom",2002-01-16,2002,1,6.47468578876377
"ssp126","Bottom",2002-02-14,2002,2,5.94465634667989
"ssp126","Bottom",2002-03-16,2002,3,5.60285479822911
"ssp126","Bottom",2002-04-15,2002,4,5.57395357459499
"ssp126","Bottom",2002-05-16,2002,5,5.67966431663257
"ssp126","Bottom",2002-06-15,2002,6,6.05261967265095
"ssp126","Bottom",2002-07-16,2002,7,6.37052417705388
