"varname","simulation","year","mean_biomass"
"Cop","ssp585",2017,22.2841652987424
"Cop","ssp585",2018,20.2161117295557
"Cop","ssp585",2019,20.4844754587415
"Cop","ssp585",2020,23.0487896589549
"Cop","ssp585",2021,24.9250168988143
"Cop","ssp585",2022,25.9685958875481
"Cop","ssp585",2023,25.5241393678578
"Cop","ssp585",2024,32.4067454304844
"Cop","ssp585",2025,27.1056435024756
"Cop","ssp585",2026,26.432860130139
"Cop","ssp585",2027,25.4028495081761
"Cop","ssp585",2028,22.1358976000601
"Cop","ssp585",2029,19.3536474097985
"Cop","ssp585",2030,23.5020998571903
"Cop","ssp585",2031,22.8864497063553
"Cop","ssp585",2032,21.7208488103321
"Cop","ssp585",2033,21.4185510961386
"Cop","ssp585",2034,23.1350516407745
"Cop","ssp585",2035,32.9944161421699
"Cop","ssp585",2036,24.8732716710477
"Cop","ssp585",2037,18.5962665613331
"Cop","ssp585",2038,22.4075113185296
"Cop","ssp585",2039,24.7902021923434
"Cop","ssp585",2040,22.6632595953719
"Cop","ssp585",2041,23.6090078982226
"Cop","ssp585",2042,23.6142413082699
"Cop","ssp585",2043,18.9405694490305
"Cop","ssp585",2044,19.9465004206902
"Cop","ssp585",2045,21.6173096513333
"Cop","ssp585",2046,25.9158511694642
"Cop","ssp585",2047,30.9670177974976
"Cop","ssp585",2048,26.2897784552863
"Cop","ssp585",2049,21.4116773604381
"Cop","ssp585",2050,22.924357270548
"Cop","ssp585",2051,25.1930678179065
"Cop","ssp585",2052,22.3094255537179
"Cop","ssp585",2053,21.4240551987093
"Cop","ssp585",2054,21.7686471997737
"Cop","ssp585",2055,18.2857812781331
"Cop","ssp585",2056,20.8495916132849
"Cop","ssp585",2057,21.6445030776787
"Cop","ssp585",2058,25.007609476873
"Cop","ssp585",2059,21.9206489808206
"Cop","ssp585",2060,23.7065478633578
"Cop","ssp585",2061,21.0786292465383
"Cop","ssp585",2062,21.8484436462712
"Cop","ssp585",2063,26.8947396456729
"Cop","ssp585",2064,18.9085967260223
"Cop","ssp585",2065,16.801926899467
"Cop","ssp585",2066,20.8415617732755
"Cop","ssp585",2067,17.8261299222369
"Cop","ssp585",2068,19.3742447578899
"Cop","ssp585",2069,20.7180614906509
"Cop","ssp585",2070,18.40606860672
"Cop","ssp585",2071,18.263066171699
"Cop","ssp585",2072,18.4045878615144
"Cop","ssp585",2073,15.9753694492159
"Cop","ssp585",2074,17.2638179500007
"Cop","ssp585",2075,17.1398979415328
"Cop","ssp585",2076,25.9293737802935
"Cop","ssp585",2077,24.0818149009323
"Cop","ssp585",2078,19.9164715739162
"Cop","ssp585",2079,16.5736287754284
"Cop","ssp585",2080,21.5789634569946
"Cop","ssp585",2081,18.3800023827234
"Cop","ssp585",2082,17.3147758043124
"Cop","ssp585",2083,20.1463560625429
"Cop","ssp585",2084,21.180549128372
"Cop","ssp585",2085,23.2930676232111
"Cop","ssp585",2086,14.8309185306686
"Cop","ssp585",2087,18.1149072522303
"Cop","ssp585",2088,22.3298329603855
"Cop","ssp585",2089,15.5845399761705
"Cop","ssp585",2090,16.9366940876999
"Cop","ssp585",2091,18.7265211468418
"Cop","ssp585",2092,17.3867873380001
"Cop","ssp585",2093,16.2122950136088
"Cop","ssp585",2094,15.9333955082001
"Cop","ssp585",2095,21.0413791963723
"Cop","ssp585",2096,20.0203322797304
"Cop","ssp585",2097,27.088319506628
"Cop","ssp585",2098,19.213811621298
"Cop","ssp585",2099,16.1111133837116
"Eup","ssp126",1980,7.33566605081297
"Eup","ssp126",1981,7.11983254298777
"Eup","ssp126",1982,7.78419578208085
"Eup","ssp126",1983,5.98236400340287
"Eup","ssp126",1984,6.84702003400864
"Eup","ssp126",1985,8.02889024232637
"Eup","ssp126",1986,7.22338980843928
"Eup","ssp126",1987,7.58431682173852
"Eup","ssp126",1988,7.43101080871255
"Eup","ssp126",1989,6.96721157484064
"Eup","ssp126",1990,8.05658320861299
"Eup","ssp126",1991,8.05701220062026
"Eup","ssp126",1992,8.14497439148934
"Eup","ssp126",1993,6.37129077372034
"Eup","ssp126",1994,6.54136298167458
"Eup","ssp126",1995,7.04525507738213
"Eup","ssp126",1996,6.35601548073139
"Eup","ssp126",1997,6.23249825416968
"Eup","ssp126",1998,6.28180024504928
"Eup","ssp126",1999,6.84810229378119
"Eup","ssp126",2000,7.23528347857719
"Eup","ssp126",2001,7.80479498613996
"Eup","ssp126",2002,8.03237105932402
"Eup","ssp126",2003,6.27366543851873
"Eup","ssp126",2004,6.13748507869484
"Eup","ssp126",2005,6.73763218931217
"Eup","ssp126",2006,6.63651690633204
"Eup","ssp126",2007,6.89617881907379
"Eup","ssp126",2008,7.8253112907192
"Eup","ssp126",2009,7.88575046049851
"Eup","ssp126",2010,7.57387897407248
"Eup","ssp126",2011,7.42852515936962
"Eup","ssp126",2012,7.63528092185411
"Eup","ssp126",2013,6.42662914056201
"Eup","ssp126",2014,7.41227100127425
"Eup","ssp126",2015,5.51059293610142
"Eup","ssp126",2016,6.19536724464366
"Eup","ssp126",2017,5.52805235275739
"Eup","ssp126",2018,5.08649332262006
"Eup","ssp126",2019,5.53353020168722
"Eup","ssp126",2020,6.02308464184992
"Eup","ssp126",2021,4.87951661111692
"Eup","ssp126",2022,6.13234055325587
"Eup","ssp126",2023,8.2140936648165
"Eup","ssp126",2024,8.94131584676107
"Eup","ssp126",2025,8.17003294357059
"Eup","ssp126",2026,6.58766995902311
"Eup","ssp126",2027,6.47095860077555
"Eup","ssp126",2028,7.79040607193449
"Eup","ssp126",2029,6.47922569055896
"Eup","ssp126",2030,5.2720644924538
"Eup","ssp126",2031,6.01045921978333
"Eup","ssp126",2032,7.2769045152582
"Eup","ssp126",2033,8.17211231548106
"Eup","ssp126",2034,6.22424745485054
"Eup","ssp126",2035,5.97404076273717
"Eup","ssp126",2036,6.99508762393364
"Eup","ssp126",2037,6.19002576252095
"Eup","ssp126",2038,7.0442103262726
"Eup","ssp126",2039,7.12869895795046
"Eup","ssp126",2040,7.38690721099684
"Eup","ssp126",2041,7.78442037332074
"Eup","ssp126",2042,6.67902749441575
"Eup","ssp126",2043,7.15923576976911
"Eup","ssp126",2044,8.74240399778691
"Eup","ssp126",2045,8.21101009385341
"Eup","ssp126",2046,5.88973097099411
"Eup","ssp126",2047,7.00446398264197
