"varname","simulation","year","month","biomass_tonnes_km2"
"Cop","ssp126",1998,8,35.0809790262527
"Cop","ssp126",1998,9,34.5535262512602
"Cop","ssp126",1998,10,33.4205957288833
"Cop","ssp126",1998,11,23.9324127360135
"Cop","ssp126",1998,12,12.8275908917414
"Cop","ssp126",1999,1,5.86720283099872
"Cop","ssp126",1999,2,3.44670675565899
"Cop","ssp126",1999,3,6.20376208865299
"Cop","ssp126",1999,4,20.0011381829938
"Cop","ssp126",1999,5,39.1799318950624
"Cop","ssp126",1999,6,50.1122554031425
"Cop","ssp126",1999,7,49.7337175094367
"Cop","ssp126",1999,8,34.4337576268995
"Cop","ssp126",1999,9,38.4098563191106
"Cop","ssp126",1999,10,35.6254844902859
"Cop","ssp126",1999,11,24.6417842458986
"Cop","ssp126",1999,12,12.4951279001055
"Cop","ssp126",2000,1,6.11189843658374
"Cop","ssp126",2000,2,5.64803978609627
"Cop","ssp126",2000,3,14.8127521027388
"Cop","ssp126",2000,4,29.210306868336
"Cop","ssp126",2000,5,46.3259040391159
"Cop","ssp126",2000,6,50.8038066782723
"Cop","ssp126",2000,7,40.7431787224937
"Cop","ssp126",2000,8,35.270131393602
"Cop","ssp126",2000,9,35.5151251110037
"Cop","ssp126",2000,10,37.0072320089899
"Cop","ssp126",2000,11,24.6818789968006
"Cop","ssp126",2000,12,13.6074506187789
"Cop","ssp126",2001,1,7.81678214520076
"Cop","ssp126",2001,2,6.55908033598216
"Cop","ssp126",2001,3,19.3396939160122
"Cop","ssp126",2001,4,29.5237385602783
"Cop","ssp126",2001,5,46.6604284262132
"Cop","ssp126",2001,6,52.1411141761253
"Cop","ssp126",2001,7,50.3126136431419
"Cop","ssp126",2001,8,34.82969783631
"Cop","ssp126",2001,9,40.1939008531504
"Cop","ssp126",2001,10,32.6338163133112
"Cop","ssp126",2001,11,23.5951508993642
"Cop","ssp126",2001,12,12.059583120719
"Cop","ssp126",2002,1,7.55430459112776
"Cop","ssp126",2002,2,4.66755878099921
"Cop","ssp126",2002,3,15.425388392611
"Cop","ssp126",2002,4,26.6946483169321
"Cop","ssp126",2002,5,42.9927023557438
