"simulation","depthclass","year","annual_avg_temp"
"ssp245","Bottom",2057,8.81725865383638
"ssp245","Bottom",2058,8.769528967409
"ssp245","Bottom",2059,8.70240937994845
"ssp245","Bottom",2060,8.96840634966215
"ssp245","Bottom",2061,8.46317286128294
"ssp245","Bottom",2062,8.96191009390926
"ssp245","Bottom",2063,8.88078745410336
"ssp245","Bottom",2064,9.02806443642699
"ssp245","Bottom",2065,8.03721016131501
"ssp245","Bottom",2066,7.83516735525171
"ssp245","Bottom",2067,8.1404138286937
"ssp245","Bottom",2068,7.72202541163931
"ssp245","Bottom",2069,8.65404708181851
"ssp245","Bottom",2070,8.06676515260663
"ssp245","Bottom",2071,8.78429617205707
"ssp245","Bottom",2072,9.45820100205264
"ssp245","Bottom",2073,8.95920613078149
"ssp245","Bottom",2074,8.15556074677158
"ssp245","Bottom",2075,8.57314111125894
"ssp245","Bottom",2076,8.85193469961401
"ssp245","Bottom",2077,8.71913951746682
"ssp245","Bottom",2078,8.49095983339499
"ssp245","Bottom",2079,8.50677492138696
"ssp245","Bottom",2080,9.00048791511538
"ssp245","Bottom",2081,8.7052203578809
"ssp245","Bottom",2082,9.22586784833682
"ssp245","Bottom",2083,8.82196145643044
"ssp245","Bottom",2084,8.57129206248378
"ssp245","Bottom",2085,9.77906302188176
"ssp245","Bottom",2086,9.72826219133167
"ssp245","Bottom",2087,9.18933227084893
"ssp245","Bottom",2088,9.12700043680962
"ssp245","Bottom",2089,9.96511951128003
"ssp245","Bottom",2090,9.68436021351896
"ssp245","Bottom",2091,8.85214399887718
"ssp245","Bottom",2092,9.09649344232913
"ssp245","Bottom",2093,9.1191355831355
"ssp245","Bottom",2094,8.60373952243334
"ssp245","Bottom",2095,9.41443810002832
"ssp245","Bottom",2096,8.75221706475762
"ssp245","Bottom",2097,8.76719833417986
"ssp245","Bottom",2098,9.53287545958022
"ssp245","Bottom",2099,8.60586976112216
"ssp245","Surface",1980,8.11733378264742
"ssp245","Surface",1981,9.36503664344068
"ssp245","Surface",1982,9.44553581252151
"ssp245","Surface",1983,9.45080507618427
"ssp245","Surface",1984,9.25273108214146
"ssp245","Surface",1985,8.46788363156426
