"varname","simulation","year","month","prod_biom_month"
"prod_PhL","ssp126",1996,10,11.540220488187
"prod_PhL","ssp126",1996,11,2.53797263528732
"prod_PhL","ssp126",1996,12,1.02949239548895
"prod_PhL","ssp126",1997,1,1.13790346093332
"prod_PhL","ssp126",1997,2,2.34030116851497
"prod_PhL","ssp126",1997,3,9.2403449352742
"prod_PhL","ssp126",1997,4,20.3824639721553
"prod_PhL","ssp126",1997,5,32.9030376277745
"prod_PhL","ssp126",1997,6,23.0797909605199
"prod_PhL","ssp126",1997,7,21.5703515125042
"prod_PhL","ssp126",1997,8,20.9024341375877
"prod_PhL","ssp126",1997,9,26.5145608955631
"prod_PhL","ssp126",1997,10,13.0381854471275
"prod_PhL","ssp126",1997,11,2.85561336582869
"prod_PhL","ssp126",1997,12,1.0221047472613
"prod_PhL","ssp126",1998,1,1.14198090000806
"prod_PhL","ssp126",1998,2,3.18680700619368
"prod_PhL","ssp126",1998,3,7.4709568255857
"prod_PhL","ssp126",1998,4,19.3898099986413
"prod_PhL","ssp126",1998,5,26.7232303173542
"prod_PhL","ssp126",1998,6,25.8492947822433
"prod_PhL","ssp126",1998,7,22.3765984069575
"prod_PhL","ssp126",1998,8,26.47717587048
"prod_PhL","ssp126",1998,9,26.6266499522112
"prod_PhL","ssp126",1998,10,11.3234942296745
"prod_PhL","ssp126",1998,11,2.68526950428434
"prod_PhL","ssp126",1998,12,0.821810763213879
"prod_PhL","ssp126",1999,1,1.1970631578404
"prod_PhL","ssp126",1999,2,3.42168392769297
"prod_PhL","ssp126",1999,3,7.21295326674069
"prod_PhL","ssp126",1999,4,14.8299951662749
"prod_PhL","ssp126",1999,5,26.565038786158
"prod_PhL","ssp126",1999,6,22.7246918055502
"prod_PhL","ssp126",1999,7,22.0400068801243
"prod_PhL","ssp126",1999,8,22.1717844429841
"prod_PhL","ssp126",1999,9,21.5384938198038
"prod_PhL","ssp126",1999,10,12.1841921929197
"prod_PhL","ssp126",1999,11,3.22610633344911
"prod_PhL","ssp126",1999,12,0.893347169382001
"prod_PhL","ssp126",2000,1,1.17374340606443
"prod_PhL","ssp126",2000,2,2.48204007962256
"prod_PhL","ssp126",2000,3,8.84447982746662
"prod_PhL","ssp126",2000,4,26.8771464336488
"prod_PhL","ssp126",2000,5,29.9483253361071
"prod_PhL","ssp126",2000,6,25.802437787188
"prod_PhL","ssp126",2000,7,28.2749413223364
"prod_PhL","ssp126",2000,8,29.4272183931482
"prod_PhL","ssp126",2000,9,27.9668853729453
"prod_PhL","ssp126",2000,10,11.01059420873
"prod_PhL","ssp126",2000,11,2.85081955811255
"prod_PhL","ssp126",2000,12,0.766399055814739
"prod_PhL","ssp126",2001,1,1.30928483846206
"prod_PhL","ssp126",2001,2,4.21185218525329
"prod_PhL","ssp126",2001,3,12.0064731614887
"prod_PhL","ssp126",2001,4,24.7171936279234
"prod_PhL","ssp126",2001,5,33.9135747932431
"prod_PhL","ssp126",2001,6,32.4053020726472
"prod_PhL","ssp126",2001,7,28.1210647773209
"prod_PhL","ssp126",2001,8,29.1643002200254
"prod_PhL","ssp126",2001,9,26.4777419529386
"prod_PhL","ssp126",2001,10,14.2896673893628
"prod_PhL","ssp126",2001,11,2.96560832224078
"prod_PhL","ssp126",2001,12,1.00737208636467
"prod_PhL","ssp126",2002,1,0.987441447125663
"prod_PhL","ssp126",2002,2,3.0598462261617
"prod_PhL","ssp126",2002,3,9.86970305791229
"prod_PhL","ssp126",2002,4,20.8254610067764
"prod_PhL","ssp126",2002,5,28.9829777323077
"prod_PhL","ssp126",2002,6,27.0261457477035
"prod_PhL","ssp126",2002,7,25.8578717830761
"prod_PhL","ssp126",2002,8,25.0648943973752
"prod_PhL","ssp126",2002,9,28.0252173807586
"prod_PhL","ssp126",2002,10,14.3428434315303
"prod_PhL","ssp126",2002,11,3.09981641574871
"prod_PhL","ssp126",2002,12,1.54720461594978
"prod_PhL","ssp126",2003,1,1.08559874277478
"prod_PhL","ssp126",2003,2,5.1292760094229
"prod_PhL","ssp126",2003,3,12.9742053314875
"prod_PhL","ssp126",2003,4,23.8639511663034
"prod_PhL","ssp126",2003,5,31.305824151431
"prod_PhL","ssp126",2003,6,28.0427909553041
"prod_PhL","ssp126",2003,7,28.4432774114764
"prod_PhL","ssp126",2003,8,29.007639589198
"prod_PhL","ssp126",2003,9,24.9279972354137
"prod_PhL","ssp126",2003,10,9.0312335990282
"prod_PhL","ssp126",2003,11,3.02316159296912
"prod_PhL","ssp126",2003,12,0.951750283115702
"prod_PhL","ssp126",2004,1,1.29873239779124
"prod_PhL","ssp126",2004,2,2.88674115599994
"prod_PhL","ssp126",2004,3,11.7026035789691
"prod_PhL","ssp126",2004,4,20.4457365165601
"prod_PhL","ssp126",2004,5,25.6904617126062
"prod_PhL","ssp126",2004,6,26.7414037600675
"prod_PhL","ssp126",2004,7,24.9850326608981
"prod_PhL","ssp126",2004,8,25.8743273453901
"prod_PhL","ssp126",2004,9,20.5694231701602
"prod_PhL","ssp126",2004,10,13.936828553754
"prod_PhL","ssp126",2004,11,2.8385872550569
"prod_PhL","ssp126",2004,12,0.865480581920547
"prod_PhL","ssp126",2005,1,0.989798586292961
"prod_PhL","ssp126",2005,2,3.53149968363684
"prod_PhL","ssp126",2005,3,11.0075464648826
"prod_PhL","ssp126",2005,4,21.8076678410257
"prod_PhL","ssp126",2005,5,27.6381241651541
"prod_PhL","ssp126",2005,6,29.5122459585535
"prod_PhL","ssp126",2005,7,26.9691898370216
"prod_PhL","ssp126",2005,8,27.2580105376166
"prod_PhL","ssp126",2005,9,29.5985916331581
"prod_PhL","ssp126",2005,10,13.6587864502438
"prod_PhL","ssp126",2005,11,2.86220485275005
"prod_PhL","ssp126",2005,12,0.623964425178317
"prod_PhL","ssp126",2006,1,1.28199753866285
"prod_PhL","ssp126",2006,2,3.4864474681568
"prod_PhL","ssp126",2006,3,8.75609839387218
"prod_PhL","ssp126",2006,4,22.2344580883031
