"simulation","depthclass","date","year","month","area_weighted_temp"
"ssp126","Bottom",1993-02-14,1993,2,3.33826267927235
"ssp126","Bottom",1993-03-16,1993,3,3.53572088999136
"ssp126","Bottom",1993-04-15,1993,4,4.11116256158053
"ssp126","Bottom",1993-05-16,1993,5,5.055626005764
"ssp126","Bottom",1993-06-15,1993,6,6.07010484886041
"ssp126","Bottom",1993-07-16,1993,7,6.72349235422035
"ssp126","Bottom",1993-08-16,1993,8,7.14631260204369
"ssp126","Bottom",1993-09-15,1993,9,7.07904977848707
"ssp126","Bottom",1993-10-16,1993,10,6.80546104613282
"ssp126","Bottom",1993-11-15,1993,11,6.24353033855393
"ssp126","Bottom",1993-12-16,1993,12,5.36710429125678
"ssp126","Bottom",1994-01-16,1994,1,4.76034353314847
"ssp126","Bottom",1994-02-14,1994,2,4.26154860198365
"ssp126","Bottom",1994-03-16,1994,3,3.40015533914384
"ssp126","Bottom",1994-04-15,1994,4,3.64680328621116
"ssp126","Bottom",1994-05-16,1994,5,4.50471646929423
"ssp126","Bottom",1994-06-15,1994,6,5.60940381230791
"ssp126","Bottom",1994-07-16,1994,7,6.40669201700258
"ssp126","Bottom",1994-08-16,1994,8,6.866410933866
"ssp126","Bottom",1994-09-15,1994,9,7.06162768040902
"ssp126","Bottom",1994-10-16,1994,10,7.2389472600219
"ssp126","Bottom",1994-11-15,1994,11,5.95582781171898
"ssp126","Bottom",1994-12-16,1994,12,4.54006115519076
"ssp126","Bottom",1995-01-16,1995,1,4.0333830695811
"ssp126","Bottom",1995-02-14,1995,2,3.60278627531178
"ssp126","Bottom",1995-03-16,1995,3,3.11774454263676
"ssp126","Bottom",1995-04-15,1995,4,3.34915227770926
"ssp126","Bottom",1995-05-16,1995,5,4.39402632370882
"ssp126","Bottom",1995-06-15,1995,6,5.57361998216861
"ssp126","Bottom",1995-07-16,1995,7,6.44558259124344
"ssp126","Bottom",1995-08-16,1995,8,6.90725370489076
"ssp126","Bottom",1995-09-15,1995,9,7.57055000480411
"ssp126","Bottom",1995-10-16,1995,10,7.85766376000429
"ssp126","Bottom",1995-11-15,1995,11,7.12784454377516
"ssp126","Bottom",1995-12-16,1995,12,5.70839592245637
"ssp126","Bottom",1996-01-16,1996,1,4.78002136843892
"ssp126","Bottom",1996-02-15,1996,2,3.85678446326735
"ssp126","Bottom",1996-03-16,1996,3,3.72861009122189
"ssp126","Bottom",1996-04-15,1996,4,4.18334554298429
"ssp126","Bottom",1996-05-16,1996,5,5.21445932113074
"ssp126","Bottom",1996-06-15,1996,6,6.26840780641383
"ssp126","Bottom",1996-07-16,1996,7,7.09331061480924
"ssp126","Bottom",1996-08-16,1996,8,7.50126786344105
"ssp126","Bottom",1996-09-15,1996,9,7.89844015263329
"ssp126","Bottom",1996-10-16,1996,10,7.69898163008874
"ssp126","Bottom",1996-11-15,1996,11,6.90844167055326
"ssp126","Bottom",1996-12-16,1996,12,5.46392229032406
"ssp126","Bottom",1997-01-16,1997,1,4.20506281481571
"ssp126","Bottom",1997-02-14,1997,2,3.90217295620112
"ssp126","Bottom",1997-03-16,1997,3,3.73076217342785
"ssp126","Bottom",1997-04-15,1997,4,3.93926316028144
"ssp126","Bottom",1997-05-16,1997,5,4.97916627023487
"ssp126","Bottom",1997-06-15,1997,6,6.11916197818087
"ssp126","Bottom",1997-07-16,1997,7,7.15988128098949
"ssp126","Bottom",1997-08-16,1997,8,7.94108490967241
"ssp126","Bottom",1997-09-15,1997,9,8.37599956232414
"ssp126","Bottom",1997-10-16,1997,10,8.48033188884225
"ssp126","Bottom",1997-11-15,1997,11,7.68079875921814
"ssp126","Bottom",1997-12-16,1997,12,6.28543900553701
"ssp126","Bottom",1998-01-16,1998,1,4.89894141388355
"ssp126","Bottom",1998-02-14,1998,2,4.67904962671053
"ssp126","Bottom",1998-03-16,1998,3,4.78786255424584
"ssp126","Bottom",1998-04-15,1998,4,5.24998276256458
"ssp126","Bottom",1998-05-16,1998,5,5.97355056935632
"ssp126","Bottom",1998-06-15,1998,6,6.63163620438105
"ssp126","Bottom",1998-07-16,1998,7,7.37274258795006
"ssp126","Bottom",1998-08-16,1998,8,7.9079367063141
"ssp126","Bottom",1998-09-15,1998,9,8.2256202392577
"ssp126","Bottom",1998-10-16,1998,10,8.11309080036363
"ssp126","Bottom",1998-11-15,1998,11,7.74858458663543
"ssp126","Bottom",1998-12-16,1998,12,6.25064599944636
"ssp126","Bottom",1999-01-16,1999,1,5.17336452427969
"ssp126","Bottom",1999-02-14,1999,2,3.54014858132784
"ssp126","Bottom",1999-03-16,1999,3,3.09934900512738
"ssp126","Bottom",1999-04-15,1999,4,3.63976467730536
"ssp126","Bottom",1999-05-16,1999,5,4.54986219202404
"ssp126","Bottom",1999-06-15,1999,6,5.66908499605084
"ssp126","Bottom",1999-07-16,1999,7,6.6383008052765
"ssp126","Bottom",1999-08-16,1999,8,7.09448178836401
"ssp126","Bottom",1999-09-15,1999,9,7.71912661554682
"ssp126","Bottom",1999-10-16,1999,10,7.81259032155929
"ssp126","Bottom",1999-11-15,1999,11,6.82936216797586
"ssp126","Bottom",1999-12-16,1999,12,5.45487301541842
"ssp126","Bottom",2000-01-16,2000,1,3.90317033202371
"ssp126","Bottom",2000-02-15,2000,2,3.44912538156487
"ssp126","Bottom",2000-03-16,2000,3,3.78406183856307
"ssp126","Bottom",2000-04-15,2000,4,4.22217482048583
"ssp126","Bottom",2000-05-16,2000,5,5.17327159590097
"ssp126","Bottom",2000-06-15,2000,6,6.18666790031288
"ssp126","Bottom",2000-07-16,2000,7,6.97152044458877
"ssp126","Bottom",2000-08-16,2000,8,7.34485110958721
"ssp126","Bottom",2000-09-15,2000,9,7.4711813167536
"ssp126","Bottom",2000-10-16,2000,10,7.55042907257495
"ssp126","Bottom",2000-11-15,2000,11,7.11241457662463
"ssp126","Bottom",2000-12-16,2000,12,6.33965531235686
"ssp126","Bottom",2001-01-16,2001,1,5.63864620462317
"ssp126","Bottom",2001-02-14,2001,2,5.07610772006938
"ssp126","Bottom",2001-03-16,2001,3,4.86566616779816
"ssp126","Bottom",2001-04-15,2001,4,4.91466968167893
"ssp126","Bottom",2001-05-16,2001,5,5.60416447147032
"ssp126","Bottom",2001-06-15,2001,6,6.54301307235906
"ssp126","Bottom",2001-07-16,2001,7,7.1849279107349
"ssp126","Bottom",2001-08-16,2001,8,7.567800340534
