tstep,phl_ssp126,phl_ssp245,phl_ssp585,phs_ssp126,phs_ssp245,phs_ssp585
853,0.048111223,0.034755517,0.068297375,0.086893676,0.074783605,0.132105959
854,0.164498225,0.141665902,0.158137257,0.318286584,0.308887345,0.305547152
855,0.559460355,0.366046583,0.372410628,0.811019072,0.662507685,0.675409477
856,1.048136974,1.00429797,1.459354173,1.533837269,1.250620044,1.439795472
857,1.821790096,2.287874297,1.448962042,1.977533591,2.186854033,1.957154535
858,1.150044601,1.589852509,1.456479987,1.807376639,2.168660626,2.137501528
859,1.368681558,1.241704101,1.597913492,1.955876176,1.92778639,2.189184211
860,1.378521464,1.280539999,1.391269017,1.812505817,1.745903778,1.814829545
861,1.365008919,1.345217557,1.360383653,1.70754399,1.64142379,1.680886734
862,0.5533677,0.71417032,0.801613312,0.955942672,0.988846259,1.079411488
863,0.138562994,0.182934481,0.207297218,0.27777349,0.308095496,0.326869707
864,0.037687681,0.039480934,0.034871821,0.087866978,0.08189603,0.075635484
865,0.069421582,0.04627423,0.048010466,0.124407797,0.092888972,0.092864314
866,0.273305897,0.171448861,0.167066964,0.429886519,0.347421201,0.318893687
867,0.666572186,0.353670498,0.643334836,0.971173027,0.61668071,0.785299458
868,1.365395228,1.060793554,0.755746454,1.54795223,1.366463241,1.286351823
869,1.213659573,1.73381429,1.96354582,1.849562228,1.988300634,2.265580309
870,1.302621672,1.691643833,1.718224778,1.994849859,2.409535985,2.198770496
871,1.213082063,1.141873658,1.348264591,1.821021347,1.96508336,1.885207944
872,1.811079899,1.332125982,1.577396091,2.180458796,1.82436497,1.91661158
873,1.398614207,1.318571075,1.67916296,1.70796969,1.705603451,1.895810326
874,0.990039262,0.782653339,0.871273468,1.210171594,1.082376752,1.197023694
875,0.197737817,0.186355824,0.153763995,0.372464116,0.352787308,0.311562516
876,0.0381882,0.030353488,0.040411906,0.090440851,0.074020996,0.097366713
877,0.034962999,0.039680333,0.058411811,0.071458197,0.076614589,0.113790727
878,0.164199994,0.142435752,0.202193836,0.29675749,0.296121161,0.410183201
879,0.618427958,0.617235524,0.612145205,1.027377142,0.747311897,0.89573129
880,1.484478663,0.970659713,1.186630372,1.650740896,1.347857204,1.589709534
881,1.38558073,1.346012743,2.021190078,1.785257579,1.981074364,2.095119898
882,1.434852599,1.469108948,1.778457807,1.893790057,2.050034836,2.185634788
883,1.703383267,1.383265637,1.302542356,2.011711871,1.911342193,1.864847042
884,1.582772482,1.417894291,1.364772432,1.832342385,1.875157979,1.812564585
885,1.458515827,1.390738957,1.280905571,1.623513625,1.673889237,1.59767413
886,0.796777675,0.919915609,0.683968158,1.026678974,1.153720484,1.050984697
887,0.312320023,0.155555188,0.128522158,0.433598837,0.31311803,0.280271128
888,0.073660879,0.030446629,0.02488618,0.13453529,0.07653581,0.067333732
889,0.047967633,0.057432999,0.062067035,0.081533911,0.111515618,0.12324466
890,0.277371038,0.119813378,0.160247904,0.410932245,0.239959396,0.301896056
891,1.051407577,0.577102266,0.502105986,0.868860811,0.730058005,0.924865026
892,1.266379627,0.706981827,1.109532098,1.509810258,1.206988005,1.578374548
893,1.929633205,1.942959869,1.838191317,2.032819664,2.27853723,2.020349024
894,2.296391234,1.634358224,1.953215471,2.191611657,2.309080084,2.333817963
895,2.117374394,1.268262427,1.411986108,2.178333005,2.017876278,2.04502309
896,2.000543983,1.30159367,1.435823797,2.170191038,1.864580287,1.883770552
897,1.392707537,1.295030888,1.525119986,1.555391999,1.668016861,1.760310541
