"","tstep","year","month","prod_PhL","prod_PhS"
"355",355,2009,7,22.8164400354052,35.1240481909532
"356",356,2009,8,31.0360205803274,37.0142827979265
"357",357,2009,9,21.801269230588,30.3771704577282
"358",358,2009,10,10.6604967697641,17.0923749718468
"359",359,2009,11,3.29556869280315,5.48721974646205
"360",360,2009,12,0.595928892099985,1.17069861371727
"361",361,2010,1,1.22975880758368,2.01180108866535
"362",362,2010,2,3.25944341205413,6.07455439642311
"363",363,2010,3,8.80154936657186,15.1654794330415
"364",364,2010,4,19.078513712653,25.6412010105959
"365",365,2010,5,32.7868451133823,36.778752031547
"366",366,2010,6,33.9463474182116,42.776769928981
"367",367,2010,7,28.2097417755923,37.8839408777454
"368",368,2010,8,32.0832736052932,36.5083442918211
"369",369,2010,9,25.1780242586452,32.4290250364424
"370",370,2010,10,14.4898560577887,23.1104696823765
"371",371,2010,11,3.45221458516064,6.5225068007504
"372",372,2010,12,1.21141837159847,2.50454641195471
"373",373,2011,1,-0.244779458293826,-0.367802901779235
"374",374,2011,2,0.260818143656976,0.600531117000091
"375",375,2011,3,7.62982842098646,10.8528430546815
"376",376,2011,4,19.1391799894597,23.362845650644
"377",377,2011,5,23.4156652648586,35.4146319772182
"378",378,2011,6,26.9751368994172,38.0128623473781
"379",379,2011,7,30.2404723589928,41.4456222367091
"380",380,2011,8,30.1896936096755,39.7591240868837
"381",381,2011,9,23.4093006192108,33.8862378990999
"382",382,2011,10,12.11386855134,20.840542615968
"383",383,2011,11,3.68459549152622,6.98279915699339
"384",384,2011,12,1.01723362687039,2.12476555424667
"385",385,2012,1,1.42141227780654,2.84410980316478
"386",386,2012,2,2.61444053701017,5.53359310639788
"387",387,2012,3,8.64844505173172,15.4057413364273
"388",388,2012,4,18.8798594730741,27.2961032568994
"389",389,2012,5,28.1133517634894,36.6033018690877
"390",390,2012,6,31.4869201377422,44.8236143078967
"391",391,2012,7,29.9528142356695,40.1573623567921
"392",392,2012,8,28.9109505100662,38.2815859682942
"393",393,2012,9,27.6306550358877,32.309885970862
"394",394,2012,10,10.472791694886,16.4966658678875
"395",395,2012,11,2.93570737824535,5.54133815991189
"396",396,2012,12,1.05081414717223,2.14997306963951
"397",397,2013,1,0.869703002158875,1.77360123948088
"398",398,2013,2,3.34314550781899,6.29565513937085
"399",399,2013,3,11.6075795922025,16.5932525816238
