"e.bal.Group","e.bal.TL","e.bal.Biomass","e.bal.PB","e.bal.QB","e.bal.EE","e.bal.GE","w.bal.TL","w.bal.Biomass","w.bal.PB","w.bal.QB","w.bal.EE","w.bal.GE"
"pacific_sandlance",3.6798101415,12.1483121459874,0.8,3.65,0.8,0.219178082191781,3.59288708,6.86423710100996,0.8,3.65,0.8,0.219178082191781
"pacific_capelin",3.6798101415,33.1057925494823,0.8,3.65,0.8,0.219178082191781,3.59288708,10.5591695309811,0.8,3.65,0.8,0.219178082191781
"shelf_forage_fish",3.6798101415,12.9873951515664,0.8,3.65,0.8,0.219178082191781,3.61400597821535,15.4549332664291,0.8,3.65,0.8,0.219178082191781
"slope_forage_fish",3.6798101415,13.6947420839518,0.8,3.65,0.8,0.219178082191781,3.59288708,4.33905131571687,0.8,3.65,0.8,0.219178082191781
"pacific_dogfish",3.64490254729605,0.1710746,0.1,3,0.78053869724648,0.0333333333333333,3.29550792203693,0.04989681,0.1,3,0.991557423480412,0.0333333333333333
"salmon_shark",4.88230239061145,0.0078,0.1,6,0.0549241025345766,0.0166666666666667,4.7612939213088,0.03346981,0.1,6,0.132187806342162,0.0166666666666667
"pacific_sleeper_shark",4.01904391010394,0.0108,0.1,3,0.925556203712574,0.0333333333333333,3.94950704376502,0.03459453,0.1,3,0.852080031294957,0.0333333333333333
"big_skate",4.70640520775298,0.1604,0.2,2,0.904830063902687,0.1,4.67957931795368,0.0739,0.2,2,0.438449356900585,0.1
"longnose_skate",4.31296037934832,0.0339,0.2,2,0.683091150439664,0.1,3.80067153229548,0.05114916,0.2,2,0.524992746320232,0.1
"other_skates",4.34656715177102,0.0157,0.2,2,0.723681587755377,0.1,4.38980154627735,0.04944184,0.2,2,0.8786119720529,0.1
"pacific_halibut_adult",4.37786139958173,0.428,0.19,1.1,0.824895074904054,0.172727272727273,4.21585819517664,1.76423,0.19,1.1,0.338292317342833,0.172727272727273
"pacific_halibut_juvenile",3.62551019401868,0.00119367962777288,0.7,6.99930522470027,0.940059216851744,0.10000992634665,3.86118267572778,0.00362201946675972,0.7,8.01908849091581,0.845983946660085,0.0872917166075639
"arrowtooth_flounder_adult",4.51658505475329,2.3582,0.26,1.44,0.86718362390448,0.180555555555556,4.45390983035555,6.509,0.26,1.44,0.292563041262037,0.180555555555556
"arrowtooth_flounder_juvenile",4.10796704745033,0.041507700959556,1.5,6.8392351969671,0.992244073933469,0.219322768818534,3.88259790732514,0.115994102298352,1.5,6.80437213702005,0.867216309951573,0.220446496722168
"rex_sole_adult",3.49140446402473,0.2202,0.2,1.69,0.652667935585116,0.118343195266272,3.45678908309541,0.3164115,0.2,2,0.562589711702053,0.1
"rex_sole_juvenile",3.49127789702473,0.0221728023703756,1.1,4.68057842592155,0.712142220805298,0.235013688459546,3.58736593257886,0.0304366354906282,1.1,5.62839175569669,0.00799501689534811,0.195437710761098
"flathead_sole_adult",3.63062506363918,0.0275,0.18,1.69,0.944149876766807,0.106508875739645,3.63011452984768,0.8294001,0.18,1.69,0.693874965765588,0.106508875739645
"flathead_sole_juvenile",3.69212785499139,0.00144391775970889,1.1,5.68139341845317,0.985394692374001,0.193614474299069,3.62736141594009,0.058766152011611,1.3205,5.88793589977401,0.828263513793281,0.224272142645215
"shallow_water_flatfish",3.56260880392692,5.09730570541249,0.2,2,0.8,0.1,3.54876847191378,3.75313814501564,0.2,2,0.8,0.1
"deep_water_flatfish",3.47613945866529,0.4086,0.2,2,0.456632855575981,0.1,3.46008551355994,0.2714415,0.2,2,0.50153276410032,0.1
"pacific_ocean_perch_adult",3.88663656746531,1.4827,0.095,1.99,0.96686569680765,0.0477386934673367,3.59930967322467,0.82401,0.09,1.99,0.489213159831369,0.0452261306532663
"pacific_ocean_perch_juvenile",3.7272810943136,0.031000258263496,1.1,7.24702422301304,0.996359626093267,0.151786438978213,3.51909607478399,0.0214708346827825,1.1,6.5771505479182,0.0247819995421338,0.167245677590301
"slope_rockfish",3.89390051428237,38.656116560363,0.1,2,0.8,0.05,3.79276032157523,1.22293924682455,0.1,2,0.8,0.05
"demersal_shelf_rockfish",4.62940091745856,1.96114059432972,0.1,2,0.8,0.05,4.56365317897979,0.01922855094529,0.1,2,0.8,0.05
"pelagic_shelf_rockfish",4.16421332958601,0.45,0.1,2,0.801946287462433,0.05,3.77228778239372,0.147,0.1,2,0.977790949055328,0.05
"thornyheads",3.81656452762541,0.2539,0.13,0.45,0.620461436002869,0.288888888888889,3.85631012060652,0.1324621,0.13,0.44,0.747071523219862,0.295454545454545
"sablefish_adult",3.62280680408981,0.6962,0.375,1.15,0.825248492144416,0.326086956521739,3.82053183194719,0.9389989,0.19,1.03,0.845371623360636,0.184466019417476
"sablefish_juvenile",3.75170423169435,0.0495614959428799,1.65,3.94473165216018,0.9755409803648,0.418279402883195,3.51923861555834,0.0393321838497289,1.65,3.27591628457259,0.012999414896905,0.503675874676779
"pacific_cod_adult",3.91866844385165,0.271,0.425,2.19,0.826437852527029,0.194063926940639,4.0447816389284,1.639283,0.42,2.19,0.973585853700809,0.191780821917808
"pacific_cod_juvenile",3.85718759745344,0.0555426798912061,2.026288,6.30135544425108,0.830665611034614,0.321563831452905,3.75092020290762,0.150802644299139,2.026288,8.48215340220503,0.62470468154253,0.238888393538514
"walleye_pollock_adult",3.85328597353256,1.75,0.42,3.78,0.811448039014918,0.111111111111111,3.73288252011139,10.15,0.425,3.78,0.897444113147778,0.112433862433862
"walleye_pollock_juvenile",3.73356349120702,0.4772940474452,2.2,10.6177200324671,0.980027431807172,0.207200792003631,3.59909708520462,2.03398452567318,1.964,10.6601439512184,0.746906860032682,0.184237662172988
"large_sculpins",4.70215201503349,0.00246,0.65,2,0.95440817356774,0.325,4.25935658838122,0.104247,0.4,2,0.5303827380421,0.2
"lingcod",4.80115200961067,0.1299,0.98,3.3,0.161473876607458,0.296969696969697,4.716428637654,0.007680951,0.98,3.3,0.961848242043374,0.296969696969697
"shelf_demersal_fish",4.1321737385659,7.3516302150345,0.4,2,0.8,0.2,3.84158032196746,3.8001208506234,0.4,2,0.8,0.2
"slope_demersal_fish",4.42455514426508,19.9914475556403,0.15,2.125,0.8,0.0705882352941176,4.27619384876976,6.97285401207813,0.15,2,0.8,0.075
"miscellaneous_deep_sea_fish",4.10625161451169,0.186669424700222,0.19,2,0.8,0.095,4.19341387264627,16.9175579915953,0.1850308,2,0.8,0.0925154
"squid",3.98582539077329,16.0860876507858,3.2,10.67,0.8,0.299906279287723,3.69623742237061,9.09285522527805,3.2,10.67,0.8,0.299906279287723
"octopus",3.48281785716352,0.39364922391243,0.8,3.65,0.8,0.219178082191781,3.48355600167588,3.1052309800786,0.8,3.65,0.8,0.219178082191781
"tanner_crab",3.36672230928871,0.491231314576867,1,3,0.8,0.333333333333333,3.32633420060724,1.5758950952791,1,3,0.8,0.333333333333333
"king_crab",3.39939207483592,0.198521974243304,0.6,3,0.8,0.2,3.39012135909053,0.006152222,0.6,3,0.279257996240504,0.2
"pandalid_shrimp",2.94321694996762,11.9225141034471,0.58,2.41,0.8,0.240663900414938,2.8539136726,20.7661763143676,0.576,2.41,0.8,0.239004149377593
"motile_epifauna",2.50199805117827,95.7362818643037,3.25,12.26,0.8,0.265089722675367,2.53575711879313,14.835497294561,1.018434,5.092168,0.8,0.200000078552004
"sessile_epifauna",2.52549951279457,0.2097841,2.13,10.67,0.156784525168042,0.19962511715089,2.475,0.2097841,2.134344,10.67172,0.674290542679037,0.2
"infauna",2.45404756614139,62.819232401255,2.75,12.26,0.8,0.224306688417618,2.405254326,36.2904984252244,2.23,11.15,0.8,0.2
