"","year","species_group_code","species_group_name","species_name","retained_or_discarded","agency_gear_code","conf_flag","catch_mt","matched_name","node"
"8180",2022,"PLCK","Pollock","pollock, walleye","D","NPT",0,444.0486614062,"Walleye pollock","53"
"8181",2022,"PLCK","Pollock","pollock, walleye","D","POT",0,1.3559007255,"Walleye pollock","53"
"8182",2022,"PLCK","Pollock","pollock, walleye","D","PTR",0,698.2307591082,"Walleye pollock","53"
"8183",2022,"PLCK","Pollock","pollock, walleye","R","HAL",0,29.6209892731,"Walleye pollock","53"
"8184",2022,"PLCK","Pollock","pollock, walleye","R","JIG",0,0.0930327207,"Walleye pollock","53"
"8185",2022,"PLCK","Pollock","pollock, walleye","R","NPT",0,1243.8328165169,"Walleye pollock","53"
"8186",2022,"PLCK","Pollock","pollock, walleye","R","POT",0,1.3631006135,"Walleye pollock","53"
"8187",2022,"PLCK","Pollock","pollock, walleye","R","PTR",0,121060.91456857,"Walleye pollock","53"
"8188",2022,"POPA","Pacific Ocean Perch","perch, Pacific ocean","D","HAL",0,0.2397108832,"Pacific ocean perch","43"
"8189",2022,"POPA","Pacific Ocean Perch","perch, Pacific ocean","D","NPT",0,628.3248991285,"Pacific ocean perch","43"
"8190",2022,"POPA","Pacific Ocean Perch","perch, Pacific ocean","D","POT",0,0.8821028813,"Pacific ocean perch","43"
"8191",2022,"POPA","Pacific Ocean Perch","perch, Pacific ocean","D","PTR",0,417.1815606806,"Pacific ocean perch","43"
"8193",2022,"POPA","Pacific Ocean Perch","perch, Pacific ocean","R","NPT",0,14024.6369530371,"Pacific ocean perch","43"
"8195",2022,"POPA","Pacific Ocean Perch","perch, Pacific ocean","R","PTR",0,13014.1695906427,"Pacific ocean perch","43"
"8292",2022,"SABL","Sablefish","sablefish (blackcod)","D","HAL",0,262.2682149829,"Sablefish","49"
"8293",2022,"SABL","Sablefish","sablefish (blackcod)","D","NPT",0,526.557902188,"Sablefish","49"
"8294",2022,"SABL","Sablefish","sablefish (blackcod)","D","POT",0,29.4399874561,"Sablefish","49"
"8295",2022,"SABL","Sablefish","sablefish (blackcod)","D","PTR",0,0.1293348254,"Sablefish","49"
"8296",2022,"SABL","Sablefish","sablefish (blackcod)","R","HAL",0,664.8096932197,"Sablefish","49"
"8297",2022,"SABL","Sablefish","sablefish (blackcod)","R","NPT",0,1170.5412290992,"Sablefish","49"
"8298",2022,"SABL","Sablefish","sablefish (blackcod)","R","POT",0,8460.5483340042,"Sablefish","49"
"8299",2022,"SABL","Sablefish","sablefish (blackcod)","R","PTR",0,78.4460069428,"Sablefish","49"
"8360",2022,"USRK","Shark","Pacific sleeper shark","D","HAL",0,28.9620426311,"Salmon shark","28"
"8361",2022,"USRK","Shark","Pacific sleeper shark","D","NPT",0,22.6444023917,"Salmon shark","28"
"8362",2022,"USRK","Shark","Pacific sleeper shark","D","POT",0,1.7477749257,"Salmon shark","28"
"8363",2022,"USRK","Shark","Pacific sleeper shark","D","PTR",0,23.1840132151,"Salmon shark","28"
"8365",2022,"USRK","Shark","shark, other","D","HAL",0,1.7020127966,"Salmon shark","28"
"8366",2022,"USRK","Shark","shark, other","D","NPT",0,0.4555076076,"Salmon shark","28"
"8369",2022,"USRK","Shark","shark, other","R","PTR",0,1.2069273213,"Salmon shark","28"
"8370",2022,"USRK","Shark","shark, salmon","D","HAL",0,1.0283019437,"Salmon shark","28"
"8371",2022,"USRK","Shark","shark, salmon","D","NPT",0,1.310686981,"Salmon shark","28"
"8372",2022,"USRK","Shark","shark, salmon","D","PTR",0,48.7485187676,"Salmon shark","28"
"8374",2022,"USRK","Shark","shark, salmon","R","PTR",0,1.529967064,"Salmon shark","28"
"8375",2022,"USRK","Shark","shark, spiny dogfish","D","HAL",0,925.1305036674,"Salmon shark","28"
