"","year","species_group_code","species_group_name","species_name","retained_or_discarded","agency_gear_code","conf_flag","catch_mt","matched_name","node"
"2",1991,"AMCK","Atka Mackerel","greenling, atka mackerel","D","TRW",0,83.04,"Atka mackerel","57"
"3",1991,"AMCK","Atka Mackerel","greenling, atka mackerel","R","TRW",0,1146.26,"Atka mackerel","57"
"5",1991,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","D","HAL",0,183.43,"Arrowtooth flounder","35"
"8",1991,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","D","TRW",0,14695.18,"Arrowtooth flounder","35"
"10",1991,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","R","TRW",0,2079.77,"Arrowtooth flounder","35"
"11",1991,"DEM1","Demersal Shelf Rockfish","rockfish, unspecified demersal","D","HAL",0,3.62,"Demersal shelf rockfish","46"
"13",1991,"DEM1","Demersal Shelf Rockfish","rockfish, unspecified demersal","D","TRW",0,36.05,"Demersal shelf rockfish","46"
"14",1991,"DEM1","Demersal Shelf Rockfish","rockfish, unspecified demersal","R","HAL",0,94.35,"Demersal shelf rockfish","46"
"17",1991,"DEM1","Demersal Shelf Rockfish","rockfish, unspecified demersal","R","TRW",0,56.18,"Demersal shelf rockfish","46"
"18",1991,"DFL1","Deep Water Flatfish","flatfish, deep water","D","HAL",0,39.91,"Deep water flatfish","42"
"19",1991,"DFL1","Deep Water Flatfish","flatfish, deep water","D","TRW",0,1405.72,"Deep water flatfish","42"
"21",1991,"DFL1","Deep Water Flatfish","flatfish, deep water","R","TRW",0,8585,"Deep water flatfish","42"
"23",1991,"FSOL","Flathead Sole","sole, flathead","D","HAL",0,1.98,"Flathead sole","39"
"25",1991,"FSOL","Flathead Sole","sole, flathead","D","TRW",0,348.69,"Flathead sole","39"
"27",1991,"FSOL","Flathead Sole","sole, flathead","R","TRW",0,881.34,"Flathead sole","39"
"37",1991,"PCOD","Pacific Cod","cod, Pacific (gray)","D","HAL",0,206.47,"Pacific cod","51"
"39",1991,"PCOD","Pacific Cod","cod, Pacific (gray)","D","TRW",0,1173.54,"Pacific cod","51"
"41",1991,"PCOD","Pacific Cod","cod, Pacific (gray)","R","HAL",0,6685.52,"Pacific cod","51"
"44",1991,"PCOD","Pacific Cod","cod, Pacific (gray)","R","TRW",0,56401.3,"Pacific cod","51"
"45",1991,"PELS","Pelagic Shelf Rockfish","rockfish, unspecified pelagic","D","HAL",0,0.76,"Pelagic shelf rockfish","47"
"47",1991,"PELS","Pelagic Shelf Rockfish","rockfish, unspecified pelagic","D","TRW",0,265.3,"Pelagic shelf rockfish","47"
"50",1991,"PELS","Pelagic Shelf Rockfish","rockfish, unspecified pelagic","R","TRW",0,697.42,"Pelagic shelf rockfish","47"
"51",1991,"PLCK","Pollock","pollock, walleye","D","HAL",0,16.41,"Walleye pollock","53"
"54",1991,"PLCK","Pollock","pollock, walleye","D","TRW",0,8611.38,"Walleye pollock","53"
"56",1991,"PLCK","Pollock","pollock, walleye","R","TRW",0,79200.22,"Walleye pollock","53"
"57",1991,"POPA","Pacific Ocean Perch","perch, Pacific ocean","D","HAL",0,2.4,"Pacific ocean perch","43"
"58",1991,"POPA","Pacific Ocean Perch","perch, Pacific ocean","D","TRW",0,1053.15,"Pacific ocean perch","43"
"60",1991,"POPA","Pacific Ocean Perch","perch, Pacific ocean","R","TRW",0,3331.13,"Pacific ocean perch","43"
"68",1991,"SABL","Sablefish","sablefish (blackcod)","D","HAL",0,21.7,"Sablefish","49"
"69",1991,"SABL","Sablefish","sablefish (blackcod)","D","TRW",0,183.91,"Sablefish","49"
"70",1991,"SABL","Sablefish","sablefish (blackcod)","R","HAL",0,10877.8,"Sablefish","49"
"72",1991,"SABL","Sablefish","sablefish (blackcod)","R","TRW",0,2019.57,"Sablefish","49"
"73",1991,"SFL1","Shallow Water Flatfish","flatfish, shallow water","D","HAL",0,3.35,"Shallow water flatfish","41"
"76",1991,"SFL1","Shallow Water Flatfish","flatfish, shallow water","D","TRW",0,2158.92,"Shallow water flatfish","41"
"79",1991,"SFL1","Shallow Water Flatfish","flatfish, shallow water","R","TRW",0,3053.27,"Shallow water flatfish","41"
"81",1991,"SLR1","Slope Rockfish","rockfish, unspecified slope","D","TRW",0,346.27,"Slope rockfish","45"
"84",1991,"SLR1","Slope Rockfish","rockfish, unspecified slope","R","TRW",0,1837.81,"Slope rockfish","45"
"88",1991,"SQID","Squid","squid, majestic","D","TRW",0,2.9,"Squid","61"
"118",1992,"AMCK","Atka Mackerel","greenling, atka mackerel","D","TRW",0,83.11,"Atka mackerel","57"
"119",1992,"AMCK","Atka Mackerel","greenling, atka mackerel","R","TRW",0,6296.99,"Atka mackerel","57"
"120",1992,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","D","HAL",0,961.63,"Arrowtooth flounder","35"
"122",1992,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","D","TRW",0,19072.79,"Arrowtooth flounder","35"
"123",1992,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","R","HAL",0,7.35,"Arrowtooth flounder","35"
"124",1992,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","R","TRW",0,440.41,"Arrowtooth flounder","35"
"125",1992,"DEM1","Demersal Shelf Rockfish","rockfish, unspecified demersal","D","HAL",0,5.63,"Demersal shelf rockfish","46"
"127",1992,"DEM1","Demersal Shelf Rockfish","rockfish, unspecified demersal","D","TRW",0,33.08,"Demersal shelf rockfish","46"
"128",1992,"DEM1","Demersal Shelf Rockfish","rockfish, unspecified demersal","R","HAL",0,122.53,"Demersal shelf rockfish","46"
"131",1992,"DEM1","Demersal Shelf Rockfish","rockfish, unspecified demersal","R","TRW",0,51,"Demersal shelf rockfish","46"
"132",1992,"DFL1","Deep Water Flatfish","flatfish, deep water","D","HAL",0,32.57,"Deep water flatfish","42"
"134",1992,"DFL1","Deep Water Flatfish","flatfish, deep water","D","TRW",0,1479.81,"Deep water flatfish","42"
"135",1992,"DFL1","Deep Water Flatfish","flatfish, deep water","R","HAL",0,22.71,"Deep water flatfish","42"
"137",1992,"DFL1","Deep Water Flatfish","flatfish, deep water","R","TRW",0,6854.14,"Deep water flatfish","42"
"141",1992,"FSOL","Flathead Sole","sole, flathead","D","HAL",0,5.61,"Flathead sole","39"
"143",1992,"FSOL","Flathead Sole","sole, flathead","D","TRW",0,596.3,"Flathead sole","39"
"146",1992,"FSOL","Flathead Sole","sole, flathead","R","TRW",0,1699.27,"Flathead sole","39"
"170",1992,"PCOD","Pacific Cod","cod, Pacific (gray)","D","HAL",0,524.21,"Pacific cod","51"
"174",1992,"PCOD","Pacific Cod","cod, Pacific (gray)","D","TRW",0,3047.95,"Pacific cod","51"
"175",1992,"PCOD","Pacific Cod","cod, Pacific (gray)","R","HAL",0,14160.55,"Pacific cod","51"
"178",1992,"PCOD","Pacific Cod","cod, Pacific (gray)","R","POT",0,9745.74,"Pacific cod","51"
"179",1992,"PCOD","Pacific Cod","cod, Pacific (gray)","R","TRW",0,51488.05,"Pacific cod","51"
"180",1992,"PELS","Pelagic Shelf Rockfish","rockfish, unspecified pelagic","D","HAL",0,5.08,"Pelagic shelf rockfish","47"
"183",1992,"PELS","Pelagic Shelf Rockfish","rockfish, unspecified pelagic","D","TRW",0,296.42,"Pelagic shelf rockfish","47"
"184",1992,"PELS","Pelagic Shelf Rockfish","rockfish, unspecified pelagic","R","HAL",0,108.29,"Pelagic shelf rockfish","47"
"188",1992,"PELS","Pelagic Shelf Rockfish","rockfish, unspecified pelagic","R","TRW",0,1960.27,"Pelagic shelf rockfish","47"
"189",1992,"PLCK","Pollock","pollock, walleye","D","HAL",0,67.46,"Walleye pollock","53"
"192",1992,"PLCK","Pollock","pollock, walleye","D","TRW",0,12882.23,"Walleye pollock","53"
"197",1992,"PLCK","Pollock","pollock, walleye","R","TRW",0,77635.5,"Walleye pollock","53"
"198",1992,"POPA","Pacific Ocean Perch","perch, Pacific ocean","D","HAL",0,0.35,"Pacific ocean perch","43"
"200",1992,"POPA","Pacific Ocean Perch","perch, Pacific ocean","D","TRW",0,1661.6,"Pacific ocean perch","43"
"202",1992,"POPA","Pacific Ocean Perch","perch, Pacific ocean","R","TRW",0,2645.16,"Pacific ocean perch","43"
"210",1992,"SABL","Sablefish","sablefish (blackcod)","D","HAL",0,248.05,"Sablefish","49"
"212",1992,"SABL","Sablefish","sablefish (blackcod)","D","TRW",0,457.99,"Sablefish","49"
"213",1992,"SABL","Sablefish","sablefish (blackcod)","R","HAL",0,9978.3,"Sablefish","49"
"215",1992,"SABL","Sablefish","sablefish (blackcod)","R","TRW",0,1891.4,"Sablefish","49"
"218",1992,"SFL1","Shallow Water Flatfish","flatfish, shallow water","D","HAL",0,11.01,"Shallow water flatfish","41"
"221",1992,"SFL1","Shallow Water Flatfish","flatfish, shallow water","D","TRW",0,2564.22,"Shallow water flatfish","41"
"224",1992,"SFL1","Shallow Water Flatfish","flatfish, shallow water","R","TRW",0,5752.56,"Shallow water flatfish","41"
"225",1992,"SLR1","Slope Rockfish","rockfish, unspecified slope","D","HAL",0,0.73,"Slope rockfish","45"
"227",1992,"SLR1","Slope Rockfish","rockfish, unspecified slope","D","TRW",0,2358.46,"Slope rockfish","45"
"228",1992,"SLR1","Slope Rockfish","rockfish, unspecified slope","R","HAL",0,16.72,"Slope rockfish","45"
"231",1992,"SLR1","Slope Rockfish","rockfish, unspecified slope","R","TRW",0,5865.79,"Slope rockfish","45"
"236",1992,"SQID","Squid","squid, majestic","D","TRW",0,11.41,"Squid","61"
"237",1992,"SQID","Squid","squid, majestic","R","TRW",0,8.56,"Squid","61"
"258",1993,"AMCK","Atka Mackerel","greenling, atka mackerel","D","TRW",0,148.75,"Atka mackerel","57"
"259",1993,"AMCK","Atka Mackerel","greenling, atka mackerel","R","TRW",0,2007.48,"Atka mackerel","57"
"260",1993,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","D","HAL",0,1302.76,"Arrowtooth flounder","35"
"262",1993,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","D","TRW",0,15463.3,"Arrowtooth flounder","35"
"263",1993,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","R","HAL",0,40.82,"Arrowtooth flounder","35"
"264",1993,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","R","TRW",0,1487.57,"Arrowtooth flounder","35"
"287",1993,"DEM1","Demersal Shelf Rockfish","rockfish, unspecified demersal","D","HAL",0,8.88,"Demersal shelf rockfish","46"
"289",1993,"DEM1","Demersal Shelf Rockfish","rockfish, unspecified demersal","D","TRW",0,22.03,"Demersal shelf rockfish","46"
"290",1993,"DEM1","Demersal Shelf Rockfish","rockfish, unspecified demersal","R","HAL",0,30.02,"Demersal shelf rockfish","46"
"292",1993,"DEM1","Demersal Shelf Rockfish","rockfish, unspecified demersal","R","TRW",0,25.06,"Demersal shelf rockfish","46"
"298",1993,"DFL1","Deep Water Flatfish","flatfish, deep water","D","HAL",0,39.18,"Deep water flatfish","42"
"300",1993,"DFL1","Deep Water Flatfish","flatfish, deep water","D","TRW",0,281.41,"Deep water flatfish","42"
"301",1993,"DFL1","Deep Water Flatfish","flatfish, deep water","R","HAL",0,0.45,"Deep water flatfish","42"
"302",1993,"DFL1","Deep Water Flatfish","flatfish, deep water","R","TRW",0,1569.9,"Deep water flatfish","42"
"303",1993,"DFL1","Deep Water Flatfish","sole, dover","D","HAL",0,0.25,"Deep water flatfish","42"
"304",1993,"DFL1","Deep Water Flatfish","sole, dover","D","TRW",0,448.37,"Deep water flatfish","42"
"305",1993,"DFL1","Deep Water Flatfish","sole, dover","R","TRW",0,1403.04,"Deep water flatfish","42"
"306",1993,"DFL1","Deep Water Flatfish","sole, rex","D","TRW",0,273.34,"Deep water flatfish","42"
"307",1993,"DFL1","Deep Water Flatfish","sole, rex","R","TRW",0,2557.68,"Deep water flatfish","42"
"311",1993,"DFL1","Deep Water Flatfish","turbot, Greenland","R","HAL",0,15.55,"Deep water flatfish","42"
"314",1993,"FSOL","Flathead Sole","sole, flathead","D","HAL",0,0.72,"Flathead sole","39"
"316",1993,"FSOL","Flathead Sole","sole, flathead","D","TRW",0,920.06,"Flathead sole","39"
"318",1993,"FSOL","Flathead Sole","sole, flathead","R","TRW",0,1902.51,"Flathead sole","39"
"334",1993,"PCOD","Pacific Cod","cod, Pacific (gray)","D","HAL",0,528.96,"Pacific cod","51"
"336",1993,"PCOD","Pacific Cod","cod, Pacific (gray)","D","TRW",0,5027.96,"Pacific cod","51"
"337",1993,"PCOD","Pacific Cod","cod, Pacific (gray)","R","HAL",0,7594.92,"Pacific cod","51"
"341",1993,"PCOD","Pacific Cod","cod, Pacific (gray)","R","TRW",0,32697.33,"Pacific cod","51"
"354",1993,"PELS","Pelagic Shelf Rockfish","rockfish, unspecified pelagic","D","HAL",0,0.66,"Pelagic shelf rockfish","47"
"356",1993,"PELS","Pelagic Shelf Rockfish","rockfish, unspecified pelagic","D","TRW",0,413.12,"Pelagic shelf rockfish","47"
"357",1993,"PELS","Pelagic Shelf Rockfish","rockfish, unspecified pelagic","R","HAL",0,2.42,"Pelagic shelf rockfish","47"
"359",1993,"PELS","Pelagic Shelf Rockfish","rockfish, unspecified pelagic","R","TRW",0,1696.46,"Pelagic shelf rockfish","47"
"362",1993,"PLCK","Pollock","pollock, walleye","D","HAL",0,24.87,"Walleye pollock","53"
"364",1993,"PLCK","Pollock","pollock, walleye","D","TRW",0,8147.37,"Walleye pollock","53"
"367",1993,"PLCK","Pollock","pollock, walleye","R","TRW",0,100057.94,"Walleye pollock","53"
"370",1993,"POPA","Pacific Ocean Perch","perch, Pacific ocean","D","TRW",0,1251.15,"Pacific ocean perch","43"
"371",1993,"POPA","Pacific Ocean Perch","perch, Pacific ocean","R","HAL",0,2.26,"Pacific ocean perch","43"
"372",1993,"POPA","Pacific Ocean Perch","perch, Pacific ocean","R","TRW",0,363.59,"Pacific ocean perch","43"
"376",1993,"SABL","Sablefish","sablefish (blackcod)","D","HAL",0,262.23,"Sablefish","49"
"377",1993,"SABL","Sablefish","sablefish (blackcod)","D","TRW",0,394.7,"Sablefish","49"
"378",1993,"SABL","Sablefish","sablefish (blackcod)","R","HAL",0,10413.32,"Sablefish","49"
"380",1993,"SABL","Sablefish","sablefish (blackcod)","R","TRW",0,1624.17,"Sablefish","49"
"383",1993,"SFL1","Shallow Water Flatfish","flatfish, shallow water","D","HAL",0,0.97,"Shallow water flatfish","41"
"385",1993,"SFL1","Shallow Water Flatfish","flatfish, shallow water","D","TRW",0,901.11,"Shallow water flatfish","41"
"386",1993,"SFL1","Shallow Water Flatfish","flatfish, shallow water","R","TRW",0,213.35,"Shallow water flatfish","41"
"390",1993,"SFL1","Shallow Water Flatfish","flounder, general","D","TRW",0,30.87,"Shallow water flatfish","41"
"396",1993,"SFL1","Shallow Water Flatfish","sole, butter","D","TRW",0,76.62,"Shallow water flatfish","41"
"397",1993,"SFL1","Shallow Water Flatfish","sole, butter","R","TRW",0,173.85,"Shallow water flatfish","41"
"402",1993,"SFL1","Shallow Water Flatfish","sole, rock","D","TRW",0,1744.8,"Shallow water flatfish","41"
"403",1993,"SFL1","Shallow Water Flatfish","sole, rock","R","TRW",0,5793.86,"Shallow water flatfish","41"
"405",1993,"SFL1","Shallow Water Flatfish","sole, yellowfin","D","TRW",0,15.04,"Shallow water flatfish","41"
"452",1994,"AMCK","Atka Mackerel","greenling, atka mackerel","D","TRW",0,275.55,"Atka mackerel","57"
"453",1994,"AMCK","Atka Mackerel","greenling, atka mackerel","R","TRW",0,3261.79,"Atka mackerel","57"
"454",1994,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","D","HAL",0,443.71,"Arrowtooth flounder","35"
"456",1994,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","D","TRW",0,21101.39,"Arrowtooth flounder","35"
"457",1994,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","R","HAL",0,12.91,"Arrowtooth flounder","35"
"458",1994,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","R","TRW",0,435.23,"Arrowtooth flounder","35"
"480",1994,"DEM1","Demersal Shelf Rockfish","rockfish, unspecified demersal","D","HAL",0,3.27,"Demersal shelf rockfish","46"
"482",1994,"DEM1","Demersal Shelf Rockfish","rockfish, unspecified demersal","D","TRW",0,18.62,"Demersal shelf rockfish","46"
"483",1994,"DEM1","Demersal Shelf Rockfish","rockfish, unspecified demersal","R","HAL",0,1.8,"Demersal shelf rockfish","46"
"484",1994,"DEM1","Demersal Shelf Rockfish","rockfish, unspecified demersal","R","TRW",0,10.55,"Demersal shelf rockfish","46"
"491",1994,"DFL4","Deep Water Flatfish","flatfish, deep water","D","HAL",0,16.38,"Deep water flatfish","42"
"493",1994,"DFL4","Deep Water Flatfish","flatfish, deep water","D","TRW",0,175.69,"Deep water flatfish","42"
"494",1994,"DFL4","Deep Water Flatfish","flatfish, deep water","R","HAL",0,0.35,"Deep water flatfish","42"
"495",1994,"DFL4","Deep Water Flatfish","flatfish, deep water","R","TRW",0,227.38,"Deep water flatfish","42"
"497",1994,"DFL4","Deep Water Flatfish","sole, dover","D","TRW",0,436.73,"Deep water flatfish","42"
"498",1994,"DFL4","Deep Water Flatfish","sole, dover","R","TRW",0,1946.27,"Deep water flatfish","42"
"499",1994,"DFL4","Deep Water Flatfish","turbot, Greenland","D","HAL",0,2.9,"Deep water flatfish","42"
"502",1994,"FSOL","Flathead Sole","sole, flathead","D","HAL",0,1,"Flathead sole","39"
"504",1994,"FSOL","Flathead Sole","sole, flathead","D","TRW",0,809.82,"Flathead sole","39"
"506",1994,"FSOL","Flathead Sole","sole, flathead","R","TRW",0,1700.42,"Flathead sole","39"
"522",1994,"PCOD","Pacific Cod","cod, Pacific (gray)","D","HAL",0,365.12,"Pacific cod","51"
"525",1994,"PCOD","Pacific Cod","cod, Pacific (gray)","D","TRW",0,2618.6,"Pacific cod","51"
"526",1994,"PCOD","Pacific Cod","cod, Pacific (gray)","R","HAL",0,6092.85,"Pacific cod","51"
"528",1994,"PCOD","Pacific Cod","cod, Pacific (gray)","R","POT",0,7950.5,"Pacific cod","51"
"529",1994,"PCOD","Pacific Cod","cod, Pacific (gray)","R","TRW",0,28583.51,"Pacific cod","51"
"542",1994,"PELS","Pelagic Shelf Rockfish","rockfish, unspecified pelagic","D","HAL",0,0.54,"Pelagic shelf rockfish","47"
"544",1994,"PELS","Pelagic Shelf Rockfish","rockfish, unspecified pelagic","D","TRW",0,265,"Pelagic shelf rockfish","47"
"545",1994,"PELS","Pelagic Shelf Rockfish","rockfish, unspecified pelagic","R","HAL",0,1.66,"Pelagic shelf rockfish","47"
"546",1994,"PELS","Pelagic Shelf Rockfish","rockfish, unspecified pelagic","R","TRW",0,1403.93,"Pelagic shelf rockfish","47"
"551",1994,"PLCK","Pollock","pollock, walleye","D","HAL",0,36.24,"Walleye pollock","53"
"553",1994,"PLCK","Pollock","pollock, walleye","D","TRW",0,5762.49,"Walleye pollock","53"
"557",1994,"PLCK","Pollock","pollock, walleye","R","TRW",0,94613.63,"Walleye pollock","53"
"559",1994,"POPA","Pacific Ocean Perch","perch, Pacific ocean","D","TRW",0,897.2,"Pacific ocean perch","43"
"560",1994,"POPA","Pacific Ocean Perch","perch, Pacific ocean","R","HAL",0,0.81,"Pacific ocean perch","43"
"562",1994,"POPA","Pacific Ocean Perch","perch, Pacific ocean","R","TRW",0,176.08,"Pacific ocean perch","43"
"563",1994,"REXS","Rex Sole","sole, rex","D","TRW",0,350.86,"Rex sole ","37"
"564",1994,"REXS","Rex Sole","sole, rex","R","TRW",0,3206.68,"Rex sole ","37"
"565",1994,"SABL","Sablefish","sablefish (blackcod)","D","HAL",0,86.31,"Sablefish","49"
"567",1994,"SABL","Sablefish","sablefish (blackcod)","D","TRW",0,449.41,"Sablefish","49"
"568",1994,"SABL","Sablefish","sablefish (blackcod)","R","HAL",0,7768.14,"Sablefish","49"
"570",1994,"SABL","Sablefish","sablefish (blackcod)","R","TRW",0,1606.46,"Sablefish","49"
"571",1994,"SFL1","Shallow Water Flatfish","flatfish, shallow water","D","HAL",0,0.42,"Shallow water flatfish","41"
"573",1994,"SFL1","Shallow Water Flatfish","flatfish, shallow water","D","TRW",0,356.59,"Shallow water flatfish","41"
"574",1994,"SFL1","Shallow Water Flatfish","flatfish, shallow water","R","TRW",0,28.82,"Shallow water flatfish","41"
"578",1994,"SFL1","Shallow Water Flatfish","flounder, general","D","TRW",0,46.69,"Shallow water flatfish","41"
"586",1994,"SFL1","Shallow Water Flatfish","sole, butter","R","TRW",0,210.41,"Shallow water flatfish","41"
"590",1994,"SFL1","Shallow Water Flatfish","sole, rock","D","TRW",0,564.21,"Shallow water flatfish","41"
"592",1994,"SFL1","Shallow Water Flatfish","sole, rock","R","TRW",0,2389.73,"Shallow water flatfish","41"
"639",1995,"AMCK","Atka Mackerel","greenling, atka mackerel","D","HAL",0,1.08,"Atka mackerel","57"
"641",1995,"AMCK","Atka Mackerel","greenling, atka mackerel","D","TRW",0,196.12,"Atka mackerel","57"
"642",1995,"AMCK","Atka Mackerel","greenling, atka mackerel","R","TRW",0,500.71,"Atka mackerel","57"
"643",1995,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","D","HAL",0,995.83,"Arrowtooth flounder","35"
"646",1995,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","D","TRW",0,14195.88,"Arrowtooth flounder","35"
"647",1995,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","R","HAL",0,25.47,"Arrowtooth flounder","35"
"649",1995,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","R","TRW",0,2198.31,"Arrowtooth flounder","35"
"663",1995,"DEM1","Demersal Shelf Rockfish","rockfish, redbanded","D","TRW",0,9.87,"Demersal shelf rockfish","46"
"664",1995,"DEM1","Demersal Shelf Rockfish","rockfish, redbanded","R","HAL",0,0.44,"Demersal shelf rockfish","46"
"666",1995,"DEM1","Demersal Shelf Rockfish","rockfish, redbanded","R","TRW",0,4.6,"Demersal shelf rockfish","46"
"672",1995,"DEM1","Demersal Shelf Rockfish","rockfish, unspecified demersal","D","HAL",0,3.41,"Demersal shelf rockfish","46"
"674",1995,"DEM1","Demersal Shelf Rockfish","rockfish, unspecified demersal","D","TRW",0,18.52,"Demersal shelf rockfish","46"
"677",1995,"DEM1","Demersal Shelf Rockfish","rockfish, unspecified demersal","R","TRW",0,13.18,"Demersal shelf rockfish","46"
"684",1995,"DFL4","Deep Water Flatfish","flatfish, deep water","D","HAL",0,34.82,"Deep water flatfish","42"
"686",1995,"DFL4","Deep Water Flatfish","flatfish, deep water","D","TRW",0,171.71,"Deep water flatfish","42"
"687",1995,"DFL4","Deep Water Flatfish","flatfish, deep water","R","HAL",0,2.09,"Deep water flatfish","42"
"688",1995,"DFL4","Deep Water Flatfish","flatfish, deep water","R","TRW",0,337.44,"Deep water flatfish","42"
"690",1995,"DFL4","Deep Water Flatfish","sole, dover","D","TRW",0,195.07,"Deep water flatfish","42"
"692",1995,"DFL4","Deep Water Flatfish","sole, dover","R","TRW",0,1172.77,"Deep water flatfish","42"
"695",1995,"DFL4","Deep Water Flatfish","turbot, Greenland","R","HAL",0,69.32,"Deep water flatfish","42"
"697",1995,"FSOL","Flathead Sole","sole, flathead","D","HAL",0,5.95,"Flathead sole","39"
"699",1995,"FSOL","Flathead Sole","sole, flathead","D","TRW",0,608.38,"Flathead sole","39"
"701",1995,"FSOL","Flathead Sole","sole, flathead","R","TRW",0,1536.2,"Flathead sole","39"
"717",1995,"PCOD","Pacific Cod","cod, Pacific (gray)","D","HAL",0,451.37,"Pacific cod","51"
"719",1995,"PCOD","Pacific Cod","cod, Pacific (gray)","D","POT",0,99.05,"Pacific cod","51"
"720",1995,"PCOD","Pacific Cod","cod, Pacific (gray)","D","TRW",0,2905.68,"Pacific cod","51"
"721",1995,"PCOD","Pacific Cod","cod, Pacific (gray)","R","HAL",0,10263.93,"Pacific cod","51"
"723",1995,"PCOD","Pacific Cod","cod, Pacific (gray)","R","POT",0,15426.14,"Pacific cod","51"
"724",1995,"PCOD","Pacific Cod","cod, Pacific (gray)","R","TRW",0,38761.01,"Pacific cod","51"
"739",1995,"PELS","Pelagic Shelf Rockfish","rockfish, dusky","R","TRW",0,106.15,"Pelagic shelf rockfish","47"
"740",1995,"PELS","Pelagic Shelf Rockfish","rockfish, unspecified pelagic","D","HAL",0,1.22,"Pelagic shelf rockfish","47"
"742",1995,"PELS","Pelagic Shelf Rockfish","rockfish, unspecified pelagic","D","TRW",0,151.59,"Pelagic shelf rockfish","47"
"745",1995,"PELS","Pelagic Shelf Rockfish","rockfish, unspecified pelagic","R","TRW",0,1619.22,"Pelagic shelf rockfish","47"
"750",1995,"PLCK","Pollock","pollock, walleye","D","HAL",0,24.07,"Walleye pollock","53"
"753",1995,"PLCK","Pollock","pollock, walleye","D","TRW",0,7698.05,"Walleye pollock","53"
"757",1995,"PLCK","Pollock","pollock, walleye","R","TRW",0,61446.01,"Walleye pollock","53"
"760",1995,"POPA","Pacific Ocean Perch","perch, Pacific ocean","D","TRW",0,996.36,"Pacific ocean perch","43"
"763",1995,"POPA","Pacific Ocean Perch","perch, Pacific ocean","R","TRW",0,3021.7,"Pacific ocean perch","43"
"766",1995,"REXS","Rex Sole","sole, rex","D","TRW",0,388.9,"Rex sole ","37"
"767",1995,"REXS","Rex Sole","sole, rex","R","TRW",0,3458.19,"Rex sole ","37"
"768",1995,"SABL","Sablefish","sablefish (blackcod)","D","HAL",0,156.58,"Sablefish","49"
"770",1995,"SABL","Sablefish","sablefish (blackcod)","D","TRW",0,673.15,"Sablefish","49"
"771",1995,"SABL","Sablefish","sablefish (blackcod)","R","HAL",0,7344.31,"Sablefish","49"
"772",1995,"SABL","Sablefish","sablefish (blackcod)","R","TRW",0,1245.62,"Sablefish","49"
"773",1995,"SFL1","Shallow Water Flatfish","flatfish, shallow water","D","HAL",0,3.09,"Shallow water flatfish","41"
"775",1995,"SFL1","Shallow Water Flatfish","flatfish, shallow water","D","TRW",0,734.54,"Shallow water flatfish","41"
"777",1995,"SFL1","Shallow Water Flatfish","flatfish, shallow water","R","TRW",0,273.95,"Shallow water flatfish","41"
"782",1995,"SFL1","Shallow Water Flatfish","flounder, general","D","TRW",0,36.5,"Shallow water flatfish","41"
"784",1995,"SFL1","Shallow Water Flatfish","flounder, starry","D","TRW",0,17.12,"Shallow water flatfish","41"
"787",1995,"SFL1","Shallow Water Flatfish","sole, English","D","TRW",0,7.3,"Shallow water flatfish","41"
"790",1995,"SFL1","Shallow Water Flatfish","sole, butter","R","TRW",0,160.54,"Shallow water flatfish","41"
"795",1995,"SFL1","Shallow Water Flatfish","sole, rock","D","TRW",0,729.63,"Shallow water flatfish","41"
"797",1995,"SFL1","Shallow Water Flatfish","sole, rock","R","TRW",0,3165.03,"Shallow water flatfish","41"
"798",1995,"SFL1","Shallow Water Flatfish","sole, sand","D","TRW",0,10.23,"Shallow water flatfish","41"
"801",1995,"SFL1","Shallow Water Flatfish","sole, yellowfin","D","TRW",0,17.62,"Shallow water flatfish","41"
"854",1996,"AMCK","Atka Mackerel","greenling, atka mackerel","D","BTR",0,173.78,"Atka mackerel","57"
"857",1996,"AMCK","Atka Mackerel","greenling, atka mackerel","R","BTR",0,1233.3,"Atka mackerel","57"
"859",1996,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","D","BTR",0,15894.79,"Arrowtooth flounder","35"
"860",1996,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","D","HAL",0,360.59,"Arrowtooth flounder","35"
"863",1996,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","R","BTR",0,5300.23,"Arrowtooth flounder","35"
