"e.bal.Group","e.bal.TL","e.bal.Biomass","e.bal.PB","e.bal.QB","e.bal.EE","e.bal.GE","w.bal.TL","w.bal.Biomass","w.bal.PB","w.bal.QB","w.bal.EE","w.bal.GE"
"pandalid_shrimp",3.04465629869137,4.47184856449155,0.58,2.41,0.8,0.240663900414938,2.8355254326,20.9575658454548,0.576,2.41,0.8,0.239004149377593
"motile_epifauna",2.51546640606209,42.9378265976239,3.25,12.26,0.8,0.265089722675367,2.53575561739715,14.5035380184415,1.018434,5.092168,0.8,0.200000078552004
"sessile_epifauna",2.52886660151552,0.0215271514337588,2.13,10.67,0.8,0.19962511715089,2.475,0.2097841,2.134344,10.67172,0.655206344145114,0.2
"infauna",2.45566376872745,26.5206185504428,2.75,12.26,0.8,0.224306688417618,2.405254326,35.9598573614892,2.23,11.15,0.8,0.2
"gelatinous_carnivores",3.19986642781273,0.875,5.5,15.64,0.939190470014213,0.351662404092072,3.42050626663106,3.45935769781393,0.88,2.51428571428571,0.8,0.35
"other_gelatinous_zooplankton",2.880256854,2.93748104697613,5.48,15.64,0.8,0.350383631713555,2.525,3.9943508765987,5.475,15.6428571428571,0.8,0.35
"mysids",2.6950656435,0.349905762516034,5.48,15.64,0.8,0.350383631713555,2.525,1.16762744985308,5.475,15.6428571428571,0.8,0.35
"pelagic_amphipods",2.6950656435,5.61496464741055,2.5,7.14,0.8,0.350140056022409,2.525,7.38354607165852,2.5,7.14285714285714,0.8,0.35
"euphausiids",3.22225,12,8,22.8571428571429,0.914539935822329,0.35,2.525,54.0563223907645,5.475,15.6428571428571,0.8,0.35
"large_copepods",2.635,18.9227,6,17.1428571428571,0.683128967621264,0.35,2.5,60.1687407781158,6,17.1428571428571,0.8,0.35
"small_copepods",2.635,37.7897,6,17.1428571428571,0.490764117224303,0.35,2.5,0.684181400427979,6,17.1428571428571,0.8,0.35
"large_microzooplankton",2.3,94.6248,36.5,104.286,0.170456767266673,0.349999041098518,2.71744247871961,0.259927728032185,36.5,104.285714285714,0.8,0.35
"small_microzooplankton",2,85,36.5,104.286,0.97022928631016,0.349999041098518,2,23.0407272488212,36.5,104.285714285714,0.8,0.35
"large_phytoplankton",1,12.5,166.48,0,0.951371641547405,0,1,7.86063,166.481,0,0.581511666317796,0
"small_phytoplankton",1,60,166.48,0,0.945316983194318,0,1,27.65792,113.378,0,0.651688400784304,0
"macroalgae",1,1.81921684732795,4,0,0.4,0,1,1.14678389334363,4,0,0.8,0
"benthic_microbes",2,7.2523,36.5,104.285714285714,0.670341886298442,0.35,2,10.857975054833,36.5,104.285714285714,0.8,0.35
"discards",1,0.050901018898,1,0,0.214468599541146,0,1,0.374998081279012,1,0,0.101353978195213,0
"offal",1,0.017841322402,1,0,0.509360163622581,0,1,0.692414503799929,1,0,0.993518203835878,0
"pelagic_detritus",1,6097.58561238534,1,0,0.807788103843183,0,1,1536.96017456461,1,0,0.4690073442182,0
"benthic_detritus",1,611.663136330444,1,0,1.58902535908165,0,1,2196.75988907552,1,0,0.895044748147226,0
"cod_jig_federal",5.25501392207813,0,0,0,0,0,5.02557262777227,0,0,0,0,0
"groundfish_jig",5.94298675838838,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"cod_pot_federal",4.98692500241631,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"sablefish_pot_federal",4.69459999870302,0,0,0,0,0,1,0,0,0,0,0
"cod_longline_federal",5.04379890689614,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"groundfish_longline",5.58359286128878,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"halibut_longline_federal",5.28741663035673,0,0,0,0,0,5.15903243569903,0,0,0,0,0
"sablefish_longline_federal",4.92027573076742,0,0,0,0,0,4.8058616413242,0,0,0,0,0
"bottom_trawl_federal",5.17895604596732,0,0,0,0,0,NA,NA,NA,NA,NA,NA
