year,run_type,pacific_cod_adult,walleye_pollock_adult,arrowtooth_flounder_adult,pacific_cod_adult_mt,walleye_pollock_adult_mt,arrowtooth_flounder_adult_mt,,,,
2059,biomass_245,20.39174763,22.45855234,30.24939768,4787350.2,5272571.875,7101620.843,,,,
2060,biomass_245,19.44740657,23.9390796,30.18588077,4565648.193,5620153.78,7086709.042,,,,
2061,biomass_245,18.94065188,23.72726448,30.01955416,4446677.9,5570426.156,7047660.71,,,,
2062,biomass_245,18.69934069,25.13478543,29.45017933,4390025.516,5900868.441,6913989.152,,,,
2063,biomass_245,19.05998485,27.26852585,29.53981745,4474693.582,6401804.545,6935033.403,,,,
2064,biomass_245,19.57064314,27.71977101,30.28529483,4594580.319,6507742.921,7110048.383,,,,
2065,biomass_245,19.53673654,25.72095519,30.01139808,4586620.102,6038482.929,7045745.916,,,,
2066,biomass_245,19.89677347,26.15890999,29.73236308,4671145.611,6141301.139,6980237.147,,,,
2067,biomass_245,20.44326616,27.05765697,29.90532739,4799445.153,6352299.07,7020843.805,,,,
2068,biomass_245,20.85182042,27.18660164,29.98000359,4895361.028,6382571.279,7038375.463,,,,
2069,biomass_245,21.04794595,26.67515027,29.77251546,4941405.223,6262498.354,6989663.682,,,,
2070,biomass_245,20.64806465,25.94944038,28.99998575,4847525.49,6092124.168,6808297.655,,,,
2071,biomass_245,20.81553506,25.16995064,28.88001832,4886842.35,5909124.143,6780133.02,,,,
2072,biomass_245,22.06932534,25.17379447,29.5811436,5181193.441,5910026.555,6944735.501,,,,
2073,biomass_245,22.93624103,25.57205491,29.48777397,5384718.371,6003525.759,6922815.207,,,,
2074,biomass_245,22.7738674,25.62075672,28.73843678,5346598.075,6014959.435,6746894.063,,,,
2075,biomass_245,22.93278618,28.16553418,28.50381928,5383907.279,6612394.293,6691813.148,,,,
2076,biomass_245,23.61089795,28.27622475,28.59980638,5543106.902,6638381.007,6714347.945,,,,
2077,biomass_245,24.04711477,28.68175161,28.31616925,5645517.088,6733586.145,6647758.738,,,,
2078,biomass_245,24.22646033,29.59664294,27.14210787,5687621.865,6948374.267,6372125.521,,,,
2079,biomass_245,24.2592927,30.99896112,25.57036528,5695329.889,7277595.104,6003129.087,,,,
2080,biomass_245,24.1412405,32.312383,24.39937062,5667614.892,7585945.844,5728215.841,,,,
2081,biomass_245,23.67139973,32.18120012,23.33137307,5557310.843,7555148.17,5477483.124,,,,
2082,biomass_245,23.05646198,32.3873135,22.58034972,5412942.522,7603537.204,5301166.123,,,,
2083,biomass_245,22.90696377,35.61931911,22.38332518,5377844.978,8362311.928,5254910.869,,,,
2084,biomass_245,23.17930162,38.41548968,22.92789468,5441781.462,9018766.097,5382758.907,,,,
2085,biomass_245,23.73561563,38.84919806,23.45327791,5572386.746,9120587.378,5506102.602,,,,
2086,biomass_245,24.28914978,40.1999714,23.83683432,5702339.405,9437707.085,5596149.757,,,,
2087,biomass_245,24.37098389,41.50721259,23.91519271,5721551.516,9744606.792,5614545.878,,,,
2088,biomass_245,24.99969116,42.49332404,24.27321701,5869152.495,9976115.19,5698598.883,,,,
2089,biomass_245,25.43828774,41.00521273,23.99615266,5972121.375,9626752.786,5633552.763,,,,
2090,biomass_245,25.62324966,40.72376224,23.63777207,6015544.7,9560676.938,5549416.111,,,,
2091,biomass_245,25.82605216,42.23050926,23.7371541,6063156.441,9914414.429,5572747.93,,,,
2092,biomass_245,26.15045199,42.76641453,23.96052506,6139315.464,10040228.37,5625188.509,,,,
2093,biomass_245,26.8266309,41.27141528,23.92992675,6298061.309,9689248.895,5618004.972,,,,
2094,biomass_245,27.90831075,41.74744248,23.88940414,6552006.206,9801005.324,5608491.521,,,,
2095,biomass_245,28.67306985,39.82697635,23.8841691,6731547.937,9350139.411,5607262.495,,,,
2096,biomass_245,29.23064526,37.80458638,23.24371338,6862449.356,8875344.94,5456903.346,,,,
2097,biomass_245,29.95287012,36.25093436,22.63092954,7032005.365,8510595.608,5313040.697,,,,
2098,biomass_245,30.47905518,38.27403785,22.03575854,7155537.307,8985557.591,5173312.997,,,,
2099,biomass_245,30.83935748,38.02505497,21.5640043,7240125.115,8927104.131,5062559.726,,,,
1990,biomass_585,1.664532304,12.93771247,6.620586306,390780.5845,3037373.818,1554308.426,,,,
1991,biomass_585,3.938641379,30.18559001,11.49457779,924670.8979,7086640.781,2698570.533,,,,
1992,biomass_585,7.119552709,42.37123921,19.73627647,1671450.27,9947453.458,4633465.89,,,,
1993,biomass_585,9.868496821,48.43138853,26.75006748,2316817.13,11370188.65,6280086.592,,,,
