"varname","simulation","year","month","biomass_tonnes_km2","month_mean_mtkm2","anomaly_ratio_mtkm2"
"Cop","ssp126",1985,11,23.3315473512303,22.4487414871277,1.03932540559607
"Cop","ssp126",1985,12,13.3794766189482,11.9817237094274,1.11665708068539
"Cop","ssp126",1986,1,6.71249003199816,6.49760640008298,1.03307119863592
"Cop","ssp126",1986,2,4.27357426796695,4.71033205797117,0.907276645334355
"Cop","ssp126",1986,3,9.14094939400443,13.1522646735655,0.695009537967758
"Cop","ssp126",1986,4,28.0073480878143,28.2932696235397,0.989894362174123
"Cop","ssp126",1986,5,41.2850706929758,42.4789036363618,0.971895862623817
"Cop","ssp126",1986,6,47.7571770431489,51.3931722993463,0.929251394815268
"Cop","ssp126",1986,7,46.9578465235157,47.4115688470859,0.990430134783485
"Cop","ssp126",1986,8,34.6777271913352,34.7408648565222,0.998182611013058
