"id","agency","code","name","begin_date","end_date","reportable_flag","last_modified_date","akfin_load_date"
1455,"AKR","215","Prowfish",1986-01-01,1999-10-26,"N",2017-12-15 12:33:52,2024-11-18 23:23:02
986,"AKR","191","Greenling, rock",1986-01-01,NA,"Y",2015-06-03 05:35:13,2024-11-18 23:23:02
846,"AKR","168","Demersal Shelf Rockfish",1991-01-01,1994-12-31,"Y",2015-06-03 05:35:13,2024-11-18 23:23:02
1112,"AKR","144","Slope Rockfish",1990-01-01,1990-12-31,"Y",2015-06-03 05:35:13,2024-11-18 23:23:02
1114,"AKR","100","Other Species",1991-01-01,1991-12-31,"Y",2015-06-03 05:35:13,2024-11-18 23:23:02
848,"AKR","144","Slope Rockfish",1993-01-01,1994-12-31,"Y",2015-06-03 05:35:13,2024-11-18 23:23:02
1129,"AKR","FLAT","Other Flatfish",1988-01-01,1989-12-31,"Y",2015-06-03 05:35:13,2024-11-18 23:23:02
850,"AKR","172","Sharpchin/Northern Rockfish",1992-01-01,1994-12-31,"Y",2015-06-03 05:35:13,2024-11-18 23:23:02
851,"AKR","173","Other Red Rockfish",1991-01-01,1992-12-31,"Y",2015-06-03 05:35:13,2024-11-18 23:23:02
852,"AKR","118","Deepwater Flatfish",1991-01-01,1993-12-31,"Y",2015-06-03 05:35:13,2024-11-18 23:23:02
1130,"AKR","FLOU","Other Flounder",1988-01-01,1989-12-31,"Y",2015-06-03 05:35:13,2024-11-18 23:23:02
855,"AKR","118","Deepwater Flatfish",1990-01-01,1990-12-31,"Y",2015-06-03 05:35:13,2024-11-18 23:23:02
857,"AKR","144","Slope Rockfish",1991-01-01,1992-12-31,"Y",2015-06-03 05:35:13,2024-11-18 23:23:02
858,"AKR","168","Demersal Shelf Rockfish",1990-01-01,1990-12-31,"Y",2015-06-03 05:35:13,2024-11-18 23:23:02
1109,"AKR","118","Deepwater Flatfish",1994-01-01,1994-12-31,"Y",2015-06-03 05:35:13,2024-11-18 23:23:02
864,"AKR","PLCK","Pollock",1988-01-01,1989-12-31,"Y",2015-06-03 05:35:13,2024-11-18 23:23:02
865,"AKR","PCOD","Pacific Cod",1988-01-01,1989-12-31,"Y",2015-06-03 05:35:13,2024-11-18 23:23:02
866,"AKR","SABL","Sablefish",1988-01-01,1989-12-31,"Y",2015-06-03 05:35:13,2024-11-18 23:23:02
867,"AKR","AMCK","Atka Mackerel",1988-01-01,1989-12-31,"Y",2015-06-03 05:35:13,2024-11-18 23:23:02
868,"AKR","ARTH","Arrowtooth Flounder",1988-01-01,1989-12-31,"Y",2015-06-03 05:35:13,2024-11-18 23:23:02
869,"AKR","DEMS","Demersal Shelf Rockfish",1988-01-01,1989-12-31,"Y",2015-06-03 05:35:13,2024-11-18 23:23:02
870,"AKR","BTCR","Bairdi Tanner Crab",1989-01-01,1989-12-31,"Y",2015-06-03 05:35:13,2024-11-18 23:23:02
871,"AKR","GKCR","Golden/Brown King Crab",1989-01-01,1989-12-31,"Y",2015-06-03 05:35:13,2024-11-18 23:23:02
872,"AKR","GTRB","Greenland Turbot",1988-01-01,1989-12-31,"Y",2015-06-03 05:35:13,2024-11-18 23:23:02
873,"AKR","HERR","Pacific Herring",1989-01-01,1989-12-31,"Y",2015-06-03 05:35:13,2024-11-18 23:23:02
874,"AKR","HLBT","Pacific Halibut",1988-01-01,1989-12-31,"Y",2015-06-03 05:35:13,2024-11-18 23:23:02
875,"AKR","OTCR","Opilio Tanner Crab",1989-01-01,1989-12-31,"Y",2015-06-03 05:35:13,2024-11-18 23:23:02
876,"AKR","PELS","Pelagic Shelf Rockfish",1988-01-01,1989-12-31,"Y",2015-06-03 05:35:13,2024-11-18 23:23:02
877,"AKR","POP","Pacific Ocean Perch Complex",1988-01-01,1989-12-31,"Y",2015-06-03 05:35:13,2024-11-18 23:23:02
