Name,Transient killer whales_PWS,Resident killer whales_PWS,Humpback whale ( Mean N*Weight 25.234 t) Cheeseman et al. 2025,Humpback whale ( Mean N*Weight  25.234 t) PWS only,Other baleen whales- EN Gray Whales mt (Numbers*14.409t) = 10% of the time spent/ km2,Steller sea lion ADult N*0.295 tonnes,Harbor seal (N*upper weight 0.064 tonnes),Sea otter,Piscivorous surface birds: Chowiet biomass (t) divided by 650NMFS 300m isobar area,Piscivorous diving birds: Chowiet biomass (t) divided by 650NMFS 300m isobar area,Planktivorous diving birds: Chowiet bioamss (t) divided by 650NMFS 300m isobar area,Salmon returning,Salmon outgoing_race,Salmon outgoing_race,Pacific hake,Mature herring Sitka biomass (t) divided by 650NMFS 300m isobar area,Mature herring Craig biomass (t) divided by 650NMFS 300m isobar area,Pacific herring adult _race,Pacific sandlance_race,Pacific capelin_race,Shelf forage fish_race,Slope forage fish_race,Pacific dogfish_race,Salmon shark_race,Big skate_race,Longnose skate_race,Other skates_race,Pacific halibut adult_race,Arrowtooth flounder adult_race,Rex sole adult_race,Flathead sole adult_race,Shallow water flatfish_race,Deep-water flatfish_race,Pacific ocean perch adult_race,Slope rockfish_race,Demersal shelf rockfish_race,Pelagic shelf rockfish_race,Thornyheads adult_race,Sablefish adult_race,Pacific cod adult_race, Walleye pollock adult_race,Large sculpins_race,Lingcod_race,Atka mackerel_race,Shelf demersal fish_race,Slope demersal fish_race,Miscellaneous deep-sea fish_race,Squid_race,Octopus_race,Tanner crab_race,King crab_race,Pandalid shrimp_race,Motile epifauna_race,Sessile epifauna_race,Euphausiids_roms,Large copepods_roms,Small copepods_roms,Large microzooplankton_roms,Small microzooplankton_roms,Large phytoplankton_roms,Small phytoplankton_roms,Salmon_shark_combined_catch_akfin,Pacific halibut_combined_catch_akfin,Arrowtooth flounder_combined_catch_akfin,Rex sole_combined_catch_akfin,Flathead sole_combined_catch_akfin,Shallow water flatfish_combined_catch_akfin,Deep water flatfish__combined_catch_akfin,Pacific ocean perch_combine_catch_akfin,Slope rockfish_45_combined_catch_akfin,Demersal shelf rockfish_combine_catch_akfin,Pelagic shelf rockfish_combined_catch_akfin,Sablefish_49_combined_catch_akfin,Pacific cod_51_combined_catch_akfin,Walleye pollock_53_combined_catch_akfin,Large sculpins_55_combined_catch_akfin,Atka mackerel_57_combined_catch_akfin,Squid_61_combined_catch_akfin,Octopus_62_combined_akfin
Pool Code,1,2,5,5,6,11,12,13,14,16,17,18,19,19,20,21,21,21,23,24,25,26,27,28,30,31,32,33,35,37,39,41,42,43,45,46,47,48,49,51,53,55,56,57,58,59,60,61,62,63,64,65,67,69,75,76,77,78,79,80,81,28,33,35,37,39,42,42,43,45,46,47,49,51,53,55,57,61,62
Type,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
2000,0.003976,0.0202705,,0.35794429,1.173862537,0.021399666,0.020553855,0.025926209,,,,0.590610345,1.04683327,,,1.487693484,0.222372574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.313010404,0.244641643,0.989705694,0.397661273,0.183843791,0.390442056,0.478389866,,,0.09794202,0.015214147,0.00610613,0.024731161,0.00357347,0.039962261,,3.08E-05,0.013527084,0.032835894,0.227393182,0.023652314,,0.000715853,,
2001,0.0037275,0.0202705,,0.3494909,1.273535901,0.021387968,0.019128113,,0.000007,0.000093,,0.65818741,1.067398166,0.029870211,,1.818869879,0.236504001,0.12825726,6.11E-05,0.001243376,0.010017624,0.000300776,0.075020197,,0.163527444,0.098247948,0.05351422,1.521600179,6.199783986,0.261341116,0.782485459,1.427262536,0.178456734,3.647791339,2.870416938,0.008208971,0.212385047,0.217247068,0.947810082,1.155285836,1.017474622,0.146813394,0.028979391,0.875521718,0.062011395,1.261940651,1.15E-06,0.038974824,0.00615335,0.020918264,0.003765669,0.038285851,0.135072305,0.294203024,0.342875909,0.276959554,1.01276965,0.429795071,0.171846127,0.391654527,0.472198409,,,0.074184411,0.012321686,0.006851416,0.022870907,0.000859526,0.043409011,,9.46E-05,0.010730122,0.030213231,0.172584157,0.014705093,,0.000320698,,
2002,0.003479,0.0202705,0.090666085,0.34810303,1.093706494,0.021481149,0.021605306,0.017947413,0.000010,0.000067,1.46117E-06,0.610361675,1.193756416,,,1.871747011,0.238001551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.349666001,0.239352969,1.018549081,0.394499112,0.177254172,0.37430998,0.466244055,,,0.085929403,0.012703083,0.008206833,0.025746074,0.000855011,0.045862614,,5.70E-05,0.012104239,0.03408542,0.177059109,0.007232769,,0.00035388,,
2003,0.0032305,0.0202705,0.102432528,0.32791583,,0.02166392,0.022030847,0.02566285,,,,0.774684903,1.336863044,0.090279597,,2.472836388,0.405699933,0.005113036,4.06E-05,0.06423373,0.001369875,0.000412242,0.211027799,0.019224606,0.157373746,0.119738097,0.082367285,2.300547116,11.46737167,0.338929034,1.269375114,1.515108627,0.240454975,2.184929715,0.758095991,0.006830641,0.298387296,0.411366467,1.018148663,1.321949802,2.022291695,0.116781697,0.020954904,0.275910299,0.04627492,1.916410062,1.92E-05,0.020366956,0.016935939,0.033981747,0.007449441,0.03068614,0.143701624,0.165047479,0.348194336,0.283881876,0.97480853,0.403229418,0.174741706,0.365328483,0.461323868,,,0.128508329,,0.010188321,,,0.043618174,,,,0.038812433,0.223052256,0.206969732,,0.002475408,,
2004,0.0032305,0.0202705,0.103910049,0.31592968,1.301768504,0.021997682,0.022198229,0.026374894,0.000010,0.000094,,0.787092844,1.065562319,,,3.123208776,0.450245241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28864643,0.252411958,0.895087118,0.380450171,0.173221071,0.360163315,0.464550855,,,0.066596987,,0.009963577,,,0.045844272,,,,0.040392007,0.240450153,0.265939881,,0.003494541,,
2005,0.0032305,0.0202705,0.113167392,0.3381356,1.288265955,0.022439914,0.023430146,0.026833333,0.000011,0.000102,1.3277E-06,0.912731238,0.963389545,0.04148447,4.61E-05,2.648594311,0.501325313,0.006345632,0.000143114,0.001942223,0.002691784,0.000704189,0.067750371,0.012091446,0.139767446,0.14103437,0.122993707,2.201666092,7.3534374,0.372550444,0.996064193,1.586575722,0.203912787,3.661909139,2.131438701,0.011399579,0.988110801,0.297938949,0.927006017,1.298144587,1.724166501,0.14359711,0.054765803,0.4089806,0.078761664,2.525590313,5.36E-05,0.016054371,0.004389296,0.022926912,0.002244266,0.032251539,0.13641962,0.283432984,0.30468139,0.288802583,0.94597384,0.394933356,0.178206237,0.3720171,0.471143479,,,0.084864582,,0.01048126,,,0.04430668,,,,0.036782497,0.202427833,0.333531224,,0.00340916,,
2006,0.0032305,0.020661,0.113339322,0.3065931,,0.022960592,0.023969638,,0.000012,0.000099,2.25498E-06,0.667609437,0.862102748,,,2.275731568,0.493374683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.303283276,0.180333545,0.997062103,0.410821975,0.177125798,0.371689531,0.477001355,,,0.117659056,,0.013134554,,,0.052544288,,,,0.034380233,0.203464171,0.293600552,,0.003740477,,
2007,0.0032305,0.020661,0.133863437,0.464158402,,0.023392866,0.024120663,0.023214589,0.000009,0.000113,1.64382E-06,0.745081335,0.873300989,0.017974727,0.004111679,2.2424315,0.435433109,0.008301467,1.74E-05,0.003351515,0.010694244,0.000550777,0.074179833,,0.105551493,0.111805474,0.135265881,1.532655274,7.668959584,0.460477348,1.220719147,1.785003927,0.221489196,3.307182851,1.409821925,0.004802343,0.317836404,0.224557511,0.658200002,1.07117552,1.280464886,0.140087472,0.033136324,0.355258959,0.063128924,1.667788633,1.77E-05,0.042369325,0.011364679,0.019631257,0.001383879,0.033447085,0.100308321,0.270046533,0.295593545,0.169042023,0.980473706,0.398592773,0.196433268,0.403519912,0.483248277,,,0.107965647,,0.013055523,,,0.049890816,,,,0.034521163,0.220694291,0.219672559,,0.006227764,,
2008,0.0032305,0.0208385,0.14214293,0.412774167,,0.02399,0.025283065,0.03520229,,,,0.577678484,0.786483735,,,2.730496687,0.585215346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33235838,0.179102983,1.038032554,0.413407377,0.185817734,0.385910417,0.490383053,,,0.124402881,,0.014077242,,,0.048391227,,,,0.030558941,0.248697162,0.216324157,,0.008994203,,
2009,0.0032305,0.02272,0.142083829,0.483245119,1.766992703,0.024772314,0.026727345,0.038606446,0.000008,0.000113,1.93886E-06,0.581707977,0.802627263,0.03046024,5.29E-05,3.199692743,0.493075173,0.044128343,8.87E-06,0.001612737,0.002450939,0.000507337,0.040336207,,0.123075413,0.107138556,0.100834611,1.857814623,6.204336399,0.502057002,0.950654903,1.689125795,0.184233534,3.178324504,0.808318954,0.004417493,0.282871977,0.233477336,0.587896545,3.270338661,3.237670659,0.178066308,0.04253267,0.621516104,0.045827611,1.716925963,2.48E-05,0.033370754,0.016832898,0.092942192,0.001725884,0.021999993,0.129808959,0.272218842,0.339631562,0.196193256,1.025968344,0.40650788,0.17911476,0.389822442,0.476611987,,,0.105770958,,0.015436054,,,0.050424298,,,,0.027217772,0.220595479,0.176980364,,0.009471101,,
