"","date","PP_L"
"73",1986-01-01,1.08154512927189
"74",1986-02-01,1.03665576777913
"75",1986-03-01,0.821530641788304
"76",1986-04-01,0.770398451278612
"77",1986-05-01,1.41404324708164
"78",1986-06-01,0.517374651416731
"79",1986-07-01,0.801909396109444
"80",1986-08-01,0.6926971144213
"81",1986-09-01,0.871801938167729
"82",1986-10-01,0.705334387496508
"83",1986-11-01,1.08468190572662
"84",1986-12-01,1.06928771393949
"85",1987-01-01,1.08611424341598
"86",1987-02-01,1.03359897128759
"87",1987-03-01,0.798003259067199
"88",1987-04-01,1.04715131502538
"89",1987-05-01,0.661223654335064
"90",1987-06-01,0.898534495663631
"91",1987-07-01,0.94457038410313
"92",1987-08-01,0.939833898525383
"93",1987-09-01,1.15992962995241
"94",1987-10-01,1.13545326323894
"95",1987-11-01,1.06928992088676
"96",1987-12-01,1.07321290120923
"97",1988-01-01,1.04209994537468
"98",1988-02-01,0.995142896438557
"99",1988-03-01,0.923057227997972
"100",1988-04-01,0.974364679407758
"101",1988-05-01,0.682815037397825
"102",1988-06-01,0.854719444343161
"103",1988-07-01,0.858994122798907
"104",1988-08-01,0.781195037224853
"105",1988-09-01,0.661163955844752
"106",1988-10-01,0.868856176855728
"107",1988-11-01,1.06107749762922
"108",1988-12-01,1.03716372009991
"109",1989-01-01,1.04364994600241
"110",1989-02-01,1.11837339014064
"111",1989-03-01,0.99858594604907
"112",1989-04-01,0.884764805722476
"113",1989-05-01,0.917024464892701
"114",1989-06-01,0.628473430548288
"115",1989-07-01,0.539750107699232
"116",1989-08-01,0.609968566083219
"117",1989-09-01,0.845601485106014
"118",1989-10-01,0.91408115683656
"119",1989-11-01,1.07676844580881
"120",1989-12-01,1.07823663733022
"121",1990-01-01,1.06155214219926
"122",1990-02-01,1.06344772161602
"123",1990-03-01,1.00828131434369
"124",1990-04-01,0.638907159406565
"125",1990-05-01,0.62393724674635
"126",1990-06-01,0.636891547349061
"127",1990-07-01,0.833122078265741
"128",1990-08-01,1.0987425477213
"129",1990-09-01,0.933045867035634
"130",1990-10-01,1.1929187342365
"131",1990-11-01,1.10802149488203
"132",1990-12-01,1.09222009135584
"133",1991-01-01,1.05690310533542
"134",1991-02-01,1.04296438881109
"135",1991-03-01,1.10916658812871
"136",1991-04-01,1.19582144867786
"137",1991-05-01,1.14332441722688
"138",1991-06-01,1.20549536354169
"139",1991-07-01,1.5198824157779
"140",1991-08-01,1.04696705003943
"141",1991-09-01,1.01533698750228
"142",1991-10-01,1.29805466750303
"143",1991-11-01,1.05580578286861
"144",1991-12-01,1.0876866368057
"145",1992-01-01,1.0638863673839
"146",1992-02-01,1.10007299899195
"147",1992-03-01,1.01359878154091
"148",1992-04-01,1.14495613331421
"149",1992-05-01,1.50623742196561
"150",1992-06-01,0.910352660388003
"151",1992-07-01,0.856081069555672
"152",1992-08-01,0.867410648606834
"153",1992-09-01,0.958860993927405
"154",1992-10-01,1.00966595235701
"155",1992-11-01,1.07129476204134
