"year","species_group_code","species_group_name","species_name","retained_or_discarded","agency_gear_code","conf_flag","catch_mt"
"1992","DEM1","Demersal Shelf Rockfish","rockfish, unspecified demersal","R","HAL",0,122.53
"1992","DEM1","Demersal Shelf Rockfish","rockfish, unspecified demersal","R","JIG",1,NA
"1992","DEM1","Demersal Shelf Rockfish","rockfish, unspecified demersal","R","POT",1,NA
"1992","DEM1","Demersal Shelf Rockfish","rockfish, unspecified demersal","R","TRW",0,51
"1992","DFL1","Deep Water Flatfish","flatfish, deep water","D","HAL",0,32.57
"1992","DFL1","Deep Water Flatfish","flatfish, deep water","D","POT",1,NA
"1992","DFL1","Deep Water Flatfish","flatfish, deep water","D","TRW",0,1479.81
"1992","DFL1","Deep Water Flatfish","flatfish, deep water","R","HAL",0,22.71
"1992","DFL1","Deep Water Flatfish","flatfish, deep water","R","JIG",1,NA
"1992","DFL1","Deep Water Flatfish","flatfish, deep water","R","TRW",0,6854.14
"1992","FLOU","Flounder","flounder, general","D","HAL",1,NA
"1992","FLOU","Flounder","flounder, general","D","TRW",1,NA
"1992","FLOU","Flounder","flounder, general","R","TRW",1,NA
"1992","FSOL","Flathead Sole","sole, flathead","D","HAL",0,5.61
"1992","FSOL","Flathead Sole","sole, flathead","D","POT",1,NA
"1992","FSOL","Flathead Sole","sole, flathead","D","TRW",0,596.3
"1992","FSOL","Flathead Sole","sole, flathead","R","HAL",1,NA
"1992","FSOL","Flathead Sole","sole, flathead","R","JIG",1,NA
"1992","FSOL","Flathead Sole","sole, flathead","R","TRW",0,1699.27
"1992","GTRB","Greenland Turbot","turbot, Greenland","D","HAL",1,NA
"1992","GTRB","Greenland Turbot","turbot, Greenland","R","HAL",0,6.03
"1992","GTRB","Greenland Turbot","turbot, Greenland","R","TRW",1,NA
"1992","NULL",NA,"Missing value","D","HAL",0,0
"1992","NULL",NA,"Missing value","D","JIG",1,NA
"1992","NULL",NA,"Missing value","D","NUL",1,NA
"1992","NULL",NA,"Missing value","D","OTH",1,NA
"1992","NULL",NA,"Missing value","D","POT",1,NA
"1992","NULL",NA,"Missing value","D","TRW",0,0
"1992","NULL",NA,"Missing value","R","HAL",0,0
"1992","NULL",NA,"Missing value","R","JIG",1,NA
"1992","NULL",NA,"Missing value","R","NUL",1,NA
"1992","NULL",NA,"Missing value","R","OTH",1,NA
"1992","NULL",NA,"Missing value","R","POT",1,NA
"1992","NULL",NA,"Missing value","R","TRW",0,0
"1992","OTHR","Other","groundfish, general","D","HAL",0,1028.21
"1992","OTHR","Other","groundfish, general","D","POT",0,91.33
"1992","OTHR","Other","groundfish, general","D","TRW",0,3698.65
"1992","OTHR","Other","groundfish, general","R","HAL",0,11.92
"1992","OTHR","Other","groundfish, general","R","JIG",1,NA
"1992","OTHR","Other","groundfish, general","R","OTH",1,NA
"1992","OTHR","Other","groundfish, general","R","POT",0,81.36
"1992","OTHR","Other","groundfish, general","R","TRW",0,6851.66
"1992","PCOD","Pacific Cod","cod, Pacific (gray)","D","HAL",0,524.21
"1992","PCOD","Pacific Cod","cod, Pacific (gray)","D","JIG",1,NA
"1992","PCOD","Pacific Cod","cod, Pacific (gray)","D","OTH",1,NA
"1992","PCOD","Pacific Cod","cod, Pacific (gray)","D","POT",1,NA
"1992","PCOD","Pacific Cod","cod, Pacific (gray)","D","TRW",0,3047.95
"1992","PCOD","Pacific Cod","cod, Pacific (gray)","R","HAL",0,14160.55
"1992","PCOD","Pacific Cod","cod, Pacific (gray)","R","JIG",1,NA
"1992","PCOD","Pacific Cod","cod, Pacific (gray)","R","OTH",1,NA
"1992","PCOD","Pacific Cod","cod, Pacific (gray)","R","POT",0,9745.74
"1992","PCOD","Pacific Cod","cod, Pacific (gray)","R","TRW",0,51488.05
"1992","PELS","Pelagic Shelf Rockfish","rockfish, unspecified pelagic","D","HAL",0,5.08
"1992","PELS","Pelagic Shelf Rockfish","rockfish, unspecified pelagic","D","JIG",1,NA
"1992","PELS","Pelagic Shelf Rockfish","rockfish, unspecified pelagic","D","POT",1,NA
"1992","PELS","Pelagic Shelf Rockfish","rockfish, unspecified pelagic","D","TRW",0,296.42
"1992","PELS","Pelagic Shelf Rockfish","rockfish, unspecified pelagic","R","HAL",0,108.29
"1992","PELS","Pelagic Shelf Rockfish","rockfish, unspecified pelagic","R","JIG",1,NA
"1992","PELS","Pelagic Shelf Rockfish","rockfish, unspecified pelagic","R","OTH",1,NA
"1992","PELS","Pelagic Shelf Rockfish","rockfish, unspecified pelagic","R","POT",1,NA
"1992","PELS","Pelagic Shelf Rockfish","rockfish, unspecified pelagic","R","TRW",0,1960.27
"1992","PLCK","Pollock","pollock, walleye","D","HAL",0,67.46
"1992","PLCK","Pollock","pollock, walleye","D","OTH",1,NA
"1992","PLCK","Pollock","pollock, walleye","D","POT",1,NA
"1992","PLCK","Pollock","pollock, walleye","D","TRW",0,12882.23
"1992","PLCK","Pollock","pollock, walleye","R","HAL",1,NA
"1992","PLCK","Pollock","pollock, walleye","R","JIG",1,NA
"1992","PLCK","Pollock","pollock, walleye","R","OTH",1,NA
"1992","PLCK","Pollock","pollock, walleye","R","POT",1,NA
"1992","PLCK","Pollock","pollock, walleye","R","TRW",0,77635.5
"1992","POPA","Pacific Ocean Perch","perch, Pacific ocean","D","HAL",0,0.35
"1992","POPA","Pacific Ocean Perch","perch, Pacific ocean","D","POT",1,NA
"1992","POPA","Pacific Ocean Perch","perch, Pacific ocean","D","TRW",0,1661.6
"1992","POPA","Pacific Ocean Perch","perch, Pacific ocean","R","HAL",1,NA
"1992","POPA","Pacific Ocean Perch","perch, Pacific ocean","R","TRW",0,2645.16
"1992","ROCK","Other Rockfish","rockfish, other","D","HAL",1,NA
"1992","ROCK","Other Rockfish","rockfish, other","D","POT",1,NA
"1992","ROCK","Other Rockfish","rockfish, other","D","TRW",1,NA
"1992","ROCK","Other Rockfish","rockfish, other","R","HAL",1,NA
"1992","RSOL","Rock Sole","sole, rock","D","HAL",1,NA
"1992","RSOL","Rock Sole","sole, rock","D","TRW",1,NA
"1992","RSOL","Rock Sole","sole, rock","R","TRW",1,NA
"1992","SABL","Sablefish","sablefish (blackcod)","D","HAL",0,248.05
"1992","SABL","Sablefish","sablefish (blackcod)","D","POT",1,NA
"1992","SABL","Sablefish","sablefish (blackcod)","D","TRW",0,457.99
"1992","SABL","Sablefish","sablefish (blackcod)","R","HAL",0,9978.3
"1992","SABL","Sablefish","sablefish (blackcod)","R","POT",1,NA
