"year","species_group_code","species_group_name","species_name","retained_or_discarded","conf_flag","catch_mt"
"1993","SFL1","Shallow Water Flatfish","sole, rock","D",0,1744.84
"1993","SFL1","Shallow Water Flatfish","sole, rock","R",0,5793.86
"1993","SFL1","Shallow Water Flatfish","sole, sand","D",1,NA
"1993","SFL1","Shallow Water Flatfish","sole, yellowfin","D",0,15.04
"1993","SFL1","Shallow Water Flatfish","sole, yellowfin","R",1,NA
"1993","SLR3","Other Slope Rockfish","rockfish, blackgill","D",1,NA
"1993","SLR3","Other Slope Rockfish","rockfish, blackgill","R",1,NA
"1993","SLR3","Other Slope Rockfish","rockfish, darkblotched","R",1,NA
"1993","SLR3","Other Slope Rockfish","rockfish, redstripe","R",1,NA
"1993","SLR3","Other Slope Rockfish","rockfish, sharpchin","D",0,212.56
"1993","SLR3","Other Slope Rockfish","rockfish, sharpchin","R",1,NA
"1993","SLR3","Other Slope Rockfish","rockfish, silvergray","D",1,NA
"1993","SLR3","Other Slope Rockfish","rockfish, silvergray","R",1,NA
"1993","SLR3","Other Slope Rockfish","rockfish, unspecified slope","D",0,1177.61
"1993","SLR3","Other Slope Rockfish","rockfish, unspecified slope","R",0,884.63
"1993","SLR3","Other Slope Rockfish","rockfish, vermilion","R",1,NA
"1993","SLR3","Other Slope Rockfish","rockfish, yellowmouth","R",1,NA
"1993","SQID","Squid","squid, majestic","D",1,NA
"1993","SRRE","Shortraker/Rougheye Rockfish","rockfish, rougheye","D",1,NA
"1993","SRRE","Shortraker/Rougheye Rockfish","rockfish, rougheye","R",1,NA
"1993","SRRE","Shortraker/Rougheye Rockfish","rockfish, shortraker","D",1,NA
"1993","SRRE","Shortraker/Rougheye Rockfish","rockfish, shortraker","R",1,NA
"1993","SRRE","Shortraker/Rougheye Rockfish","rockfish, shortraker/rougheye","D",0,404.65
"1993","SRRE","Shortraker/Rougheye Rockfish","rockfish, shortraker/rougheye","R",0,775.85
"1993","THDS","Thornyhead Rockfish","rockfish, thornyhead (idiots)","D",0,290.28
"1993","THDS","Thornyhead Rockfish","rockfish, thornyhead (idiots)","R",0,668.75
"1993","YSOL","Yellowfin Sole","sole, yellowfin","D",1,NA
"1993",NA,NA,"rockfish, dusky","D",0,150.51
"1993",NA,NA,"rockfish, dusky","R",1,NA
"1993",NA,NA,NA,"D",1,NA
"1994","AMCK","Atka Mackerel","greenling, atka mackerel","D",0,275.57
"1994","AMCK","Atka Mackerel","greenling, atka mackerel","R",0,3261.79
"1994","ARTH","Arrowtooth Flounder","flounder, arrowtooth","D",0,21548.1
"1994","ARTH","Arrowtooth Flounder","flounder, arrowtooth","R",0,448.14
"1994","DEM1","Demersal Shelf Rockfish","rockfish, bocaccio","R",1,NA
"1994","DEM1","Demersal Shelf Rockfish","rockfish, canary","R",1,NA
"1994","DEM1","Demersal Shelf Rockfish","rockfish, china","R",1,NA
"1994","DEM1","Demersal Shelf Rockfish","rockfish, copper","D",1,NA
"1994","DEM1","Demersal Shelf Rockfish","rockfish, quillback","D",1,NA
"1994","DEM1","Demersal Shelf Rockfish","rockfish, quillback","R",1,NA
"1994","DEM1","Demersal Shelf Rockfish","rockfish, redbanded","D",1,NA
"1994","DEM1","Demersal Shelf Rockfish","rockfish, redbanded","R",1,NA
"1994","DEM1","Demersal Shelf Rockfish","rockfish, rosethorn","R",1,NA
"1994","DEM1","Demersal Shelf Rockfish","rockfish, tiger","R",1,NA
"1994","DEM1","Demersal Shelf Rockfish","rockfish, unspecified demersal","D",0,21.89
"1994","DEM1","Demersal Shelf Rockfish","rockfish, unspecified demersal","R",0,12.35
"1994","DEM1","Demersal Shelf Rockfish","rockfish, yelloweye (red snapper)","D",1,NA
"1994","DEM1","Demersal Shelf Rockfish","rockfish, yelloweye (red snapper)","R",1,NA
"1994","DFL4","Deep Water Flatfish","flatfish, deep water","D",0,192.07
"1994","DFL4","Deep Water Flatfish","flatfish, deep water","R",0,227.73
"1994","DFL4","Deep Water Flatfish","sole, dover","D",0,436.9
"1994","DFL4","Deep Water Flatfish","sole, dover","R",0,1946.27
"1994","DFL4","Deep Water Flatfish","turbot, Greenland","D",0,2.9
"1994","DFL4","Deep Water Flatfish","turbot, Greenland","R",1,NA
"1994","FSOL","Flathead Sole","sole, flathead","D",0,810.82
"1994","FSOL","Flathead Sole","sole, flathead","R",0,1700.71
"1994","NORK","Northern Rockfish","rockfish, northern","D",0,1008.12
"1994","NORK","Northern Rockfish","rockfish, northern","R",0,4905.06
"1994","OTHR","Other","groundfish, general","D",0,2467.17
"1994","OTHR","Other","groundfish, general","R",0,53.94
"1994","OTHR","Other","squid, majestic","D",0,8.42
"1994","OTHR","Other","squid, majestic","R",1,NA
"1994","PCOD","Pacific Cod","cod, Pacific (gray)","D",0,3041.09
"1994","PCOD","Pacific Cod","cod, Pacific (gray)","R",0,42725.99
"1994","PELS","Pelagic Shelf Rockfish","rockfish, black","D",1,NA
"1994","PELS","Pelagic Shelf Rockfish","rockfish, black","R",1,NA
"1994","PELS","Pelagic Shelf Rockfish","rockfish, blue","R",1,NA
"1994","PELS","Pelagic Shelf Rockfish","rockfish, dusky","D",1,NA
"1994","PELS","Pelagic Shelf Rockfish","rockfish, dusky","R",1,NA
