"year","model","race_group","tot_bio_tons","tot_bio_tkm2"
1993,"WGOA","Pelagic_shelf_rockfish",51867.816448425,0.220931046150903
1993,"WGOA","Pink_salmon",36.1179067261711,0.000153844280792662
1993,"WGOA","Rex_sole",82521.426435684,0.351500146346609
1993,"WGOA","Sablefish",265788.105286746,1.13212485460722
1993,"WGOA","Salmon_shark",7160.03043634753,0.0304981609616728
1993,"WGOA","Sessile_epifauna",52387.4793501663,0.223144551102315
1993,"WGOA","Shallow_water_flatfish",290029.728739738,1.23538208802462
1993,"WGOA","Sharks_demersal",7161.3511955738,0.0305037867376849
1993,"WGOA","Shelf_demersals",18327.8117742895,0.0780673432238457
1993,"WGOA","Shelf_forage_fish",492.072175533168,0.0020959822095151
1993,"WGOA","Slope_demersals",99375.5896111317,0.423290481034253
