"year","model","race_group","bio_tons","bio_tkm2","var_bio_tons"
1999,"WGOA","Pacific herring",47.6162257321197,0.000202821388774198,14337.7105466059
1999,"WGOA","Pacific ocean perch",649947.636485229,2.76845298499835,1536310999303.56
1999,"WGOA","Pacific sandlance",8.16646630572312,3.47850761381781e-05,186.116413413395
1999,"WGOA","Pacific sleeper shark",17644.7856952756,0.0751579925606085,934779980.443208
1999,"WGOA","Pandalid shrimp",5822.27636148638,0.0247999953651783,6274343.00283099
1999,"WGOA","Pelagic shelf rockfish",47703.4107664676,0.203192753565819,5661644302.04238
1999,"WGOA","Rex sole",55504.0406949025,0.23641954907665,1582907910.12612
1999,"WGOA","Sablefish",114107.220568415,0.48603988638348,2057411892.02722
1999,"WGOA","Salmon returning",2404.40222486731,0.0102415550775248,12110250.7868762
1999,"WGOA","Sessile epifauna",43245.2937771377,0.184203397202704,952478213.230724
1999,"WGOA","Shallow-water flatfish",274422.283325712,1.16890214961247,17530183682.8888
1999,"WGOA","Shelf demersal fish",11309.1019075936,0.0481711374519932,55581788.2435281
1999,"WGOA","Shelf forage fish",12328.0957311866,0.0525115432543381,39657974.2529669
1999,"WGOA","Slope demersal fish",372075.124940205,1.58485458283185,9544561374.01298
1999,"WGOA","Slope forage fish",180.712767557647,0.000769746319069274,12171.0354217142
1999,"WGOA","Slope rockfish",302442.173042288,1.28825291415201,226193717728.675
1999,"WGOA","Squid",1489.54683623729,0.00634472710351904,595203.65964155
1999,"WGOA","Tanner crab",2491.71536520373,0.010613465536806,8147552.9728764
1999,"WGOA","Thornyheads",48916.7106974276,0.208360806539638,70922979.9702182
1999,"WGOA","Walleye pollock",593173.593508798,2.526623859196,1492956254943.15
2001,"WGOA","Arrowtooth flounder",1360770.5794196,5.79620443404404,412677050426.61
2001,"WGOA","Atka mackerel",221266.326477992,0.942484267394571,780855449565.077
2001,"WGOA","Big skate",39082.269256227,0.166470987675281,1280029737.15458
2001,"WGOA","Deep-water flatfish",32476.2720917522,0.138332732310926,271957606.368813
2001,"WGOA","Demersal shelf rockfish",1828.02541643626,0.00778647715091865,9865169.43751698
2001,"WGOA","Flathead sole",153594.242553977,0.654234918949171,5700834231.89843
2001,"WGOA","Gelatinous carnivores",17915.5593989466,0.0763113535794144,135904670.961924
2001,"WGOA","Infauna",1936.34963059954,0.0082478843123781,12499213.130454
2001,"WGOA","King crab",568.23537143888,0.00242039946286867,553435.584957342
2001,"WGOA","Large sculpins",29366.4862616892,0.125086594652051,2071865598.51343
2001,"WGOA","Lingcod",5903.9254432696,0.0251477797580988,53794716.8478207
2001,"WGOA","Longnose skate",23274.6896942507,0.0991385775435817,119918990.635001
2001,"WGOA","MISC_NA",138.776590555983,0.000591119106841059,40091.689111156
2001,"WGOA","MISC_SHELLS",605.25858524074,0.00257809990058128,523719.052926284
2001,"WGOA","Miscellaneous deep-sea fish",0.13713301398235,5.84118289827624e-07,0.0926375084253547
2001,"WGOA","Motile epifauna",30960.2332119028,0.131875162305764,232084349.210848
2001,"WGOA","Nonpandalid shrimp",158.317515529385,0.000674353707654123,54414.05725452
2001,"WGOA","Octopus",993.607761904793,0.00423227383245568,3761942.23372424
2001,"WGOA","Other gelatinous zooplankton",28.2156158149179,0.000120184460164817,817.748089338258
