"year","model","race_group","bio_tkm2","cv_tkm2"
1993,"WGOA","Pacific ocean perch juvenile",0.00179971503308942,0.993710179311811
1993,"WGOA","Pacific sandlance",1.00410150546662e-05,1.960965632382
1993,"WGOA","Pacific sleeper shark",0.0319529018377412,2.8554178893446
1993,"WGOA","Pandalid shrimp",0.0214328618770313,0.519176042953223
1993,"WGOA","Pelagic shelf rockfish",0.207174169283459,1.59977761629192
1993,"WGOA","Rex sole adult",0.281327094475194,0.419266190644667
1993,"WGOA","Rex sole juvenile",9.97322261200853e-05,0.419266190644667
1993,"WGOA","Sablefish adult",0.887606621323507,0.962664412575227
1993,"WGOA","Sablefish juvenile",0.00151418078410455,0.962664412575227
1993,"WGOA","Salmon returning",0.0348400318594414,0.615143638000653
1993,"WGOA","Salmon shark",0.0251456539388839,2.11762582453942
