"year","species_group_code","species_group_name","species_name","retained_or_discarded","agency_gear_code","conf_flag","catch_mt","assigned_group"
2013,"PLCK","Pollock","pollock, walleye","R","JIG",0,17.2740471428,"Walleye pollock"
2013,"PLCK","Pollock","pollock, walleye","R","NPT",0,9709.2923385087,"Walleye pollock"
2013,"PLCK","Pollock","pollock, walleye","R","POT",0,11.9680346817,"Walleye pollock"
2013,"PLCK","Pollock","pollock, walleye","R","PTR",0,78673.3059349846,"Walleye pollock"
2013,"POPA","Pacific Ocean Perch","perch, Pacific ocean","D","HAL",0,1.2576473793,"Pacific ocean perch"
2013,"POPA","Pacific Ocean Perch","perch, Pacific ocean","D","NPT",0,938.6682274542,"Pacific ocean perch"
2013,"POPA","Pacific Ocean Perch","perch, Pacific ocean","D","POT",0,0.3543773533,"Pacific ocean perch"
2013,"POPA","Pacific Ocean Perch","perch, Pacific ocean","D","PTR",0,60.5542221372,"Pacific ocean perch"
2013,"POPA","Pacific Ocean Perch","perch, Pacific ocean","R","NPT",0,8668.4622497795,"Pacific ocean perch"
2013,"POPA","Pacific Ocean Perch","perch, Pacific ocean","R","PTR",0,1975.3049600582,"Pacific ocean perch"
2013,"REXS","GOA Rex Sole","sole, rex","D","HAL",0,0.0660618286,"Rex sole"
2013,"REXS","GOA Rex Sole","sole, rex","D","NPT",0,53.3710384375,"Rex sole"
2013,"REXS","GOA Rex Sole","sole, rex","R","NPT",0,3631.0540673358,"Rex sole"
2013,"REXS","GOA Rex Sole","sole, rex","R","PTR",0,15.1372845703,"Rex sole"
2013,"REYE","Rougheye Rockfish","rockfish, rougheye","D","HAL",0,38.2627238132,"Slope rockfish"
2013,"REYE","Rougheye Rockfish","rockfish, rougheye","D","NPT",0,8.0309907004,"Slope rockfish"
2013,"REYE","Rougheye Rockfish","rockfish, rougheye","R","HAL",0,37.9539542162,"Slope rockfish"
2013,"REYE","Rougheye Rockfish","rockfish, rougheye","R","NPT",0,315.4687103659,"Slope rockfish"
2013,"REYE","Rougheye Rockfish","rockfish, rougheye","R","PTR",0,0.7148615745,"Slope rockfish"
2013,"ROCK","Other Rockfish","rockfish, canary","R","HAL",0,0.2156230014,"Demersal shelf rockfish"
2013,"ROCK","Other Rockfish","rockfish, copper","D","HAL",0,0.049312775,"Demersal shelf rockfish"
2013,"ROCK","Other Rockfish","rockfish, harlequin","D","HAL",0,0.2237052864,"Slope rockfish"
2013,"ROCK","Other Rockfish","rockfish, harlequin","D","NPT",0,222.5668810452,"Slope rockfish"
2013,"ROCK","Other Rockfish","rockfish, harlequin","R","NPT",0,83.034715569,"Slope rockfish"
2013,"ROCK","Other Rockfish","rockfish, quillback","D","HAL",0,7.1651693593,"Demersal shelf rockfish"
2013,"ROCK","Other Rockfish","rockfish, quillback","D","POT",0,0.0357973696,"Demersal shelf rockfish"
2013,"ROCK","Other Rockfish","rockfish, quillback","R","HAL",0,4.8406415001,"Demersal shelf rockfish"
2013,"ROCK","Other Rockfish","rockfish, redbanded","D","HAL",0,12.1538064766,"Slope rockfish"
2013,"ROCK","Other Rockfish","rockfish, redbanded","D","NPT",0,11.0012037578,"Slope rockfish"
2013,"ROCK","Other Rockfish","rockfish, redbanded","R","HAL",0,5.3809130312,"Slope rockfish"
2013,"ROCK","Other Rockfish","rockfish, redbanded","R","NPT",0,8.3792314954,"Slope rockfish"
2013,"ROCK","Other Rockfish","rockfish, redstripe","D","HAL",0,0.9326252997,"Slope rockfish"
2013,"ROCK","Other Rockfish","rockfish, redstripe","D","NPT",0,8.7391805595,"Slope rockfish"
2013,"ROCK","Other Rockfish","rockfish, redstripe","R","HAL",0,0.2882255518,"Slope rockfish"
2013,"ROCK","Other Rockfish","rockfish, redstripe","R","NPT",0,14.2911568577,"Slope rockfish"
2013,"ROCK","Other Rockfish","rockfish, rosethorn","D","HAL",0,0.3030779355,"Demersal shelf rockfish"
2013,"ROCK","Other Rockfish","rockfish, rosethorn","D","NPT",0,0.2379553401,"Demersal shelf rockfish"
2013,"ROCK","Other Rockfish","rockfish, sharpchin","D","NPT",0,27.8835570576,"Slope rockfish"
