"","date","PP"
"156",1992-12-01,1.03340602070017
"157",1993-01-01,1.0413698664975
"158",1993-02-01,1.01082696111606
"159",1993-03-01,0.976765505556251
"160",1993-04-01,1.25451025106626
"161",1993-05-01,1.12116524088621
"162",1993-06-01,1.19497135734861
"163",1993-07-01,1.09055659313553
"164",1993-08-01,0.980501589196682
"165",1993-09-01,1.13059563298762
"166",1993-10-01,1.20806060996275
"167",1993-11-01,1.13619780035426
"168",1993-12-01,1.06203400267726
"169",1994-01-01,1.04093233423123
"170",1994-02-01,1.10964794429336
"171",1994-03-01,0.919074257860837
"172",1994-04-01,1.09632690459071
"173",1994-05-01,1.2381817774164
"174",1994-06-01,1.30400159696595
"175",1994-07-01,1.04089434258979
"176",1994-08-01,1.08050690813145
"177",1994-09-01,1.07286091029909
